Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000002	N5	n39	0.25	Non-Terminal	N_bacillisporus_jgi|Nakbac1|3253|BN123_NABA0s03e03399g.tr	C_glabrata_QNG12680.1 TIR3 [Nakaseomyces glabratus], C_nivariensis_g003596.m1, N_bacillisporus_jgi|Nakbac1|348|BN123_NABA0s15e00209g.tr, S_cerevisiae_YIL011W TIR3 SGDID_S000001273_ Chr IX from 333727-334536_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; member of Srp1p/Tip1p family of serine-alanine-rich proteins; expressed under anaerobic conditions and required for anaerobic growth; TIR3 has a paralog_ TIR2_ that arose from the whole genome duplication", N_bacillisporus_jgi|Nakbac1|3254|BN123_NABA0s03e03410g.tr, N_bacillisporus_jgi|Nakbac1|3255|BN123_NABA0s03e03421g.tr, S_cerevisiae_YOR009W TIR4 SGDID_S000005535_ Chr XV from 344335-345798_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins", C_glabrata_QNG13378.1 TIR2 [Nakaseomyces glabratus], C_nivariensis_g001513.m1, C_nivariensis_g000676.m1, C_nivariensis_g000677.m1, C_nivariensis_g003610.m1, C_nivariensis_g003677.m1, C_glabrata_QNG14560.1 uncharacterized protein GWK60_H09559 [Nakaseomyces glabratus], C_glabrata_QNG14561.1 uncharacterized protein GWK60_H09581 [Nakaseomyces glabratus], C_glabrata_QNG13377.1 TIR1 [Nakaseomyces glabratus], C_nivariensis_g001514.m1, S_cerevisiae_YER011W TIR1 SGDID_S000000813_ Chr V from 175248-176012_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins", S_cerevisiae_YOR010C TIR2 SGDID_S000005536_ Chr XV from 346950-346195_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ "Putative cell wall mannoprotein; member of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis; TIR2 has a paralog_ TIR3_ that arose from the whole genome duplication"
OG0000002	N5	n40	1.0	Non-Terminal	C_glabrata_QNG12680.1 TIR3 [Nakaseomyces glabratus], C_nivariensis_g003596.m1, N_bacillisporus_jgi|Nakbac1|348|BN123_NABA0s15e00209g.tr, S_cerevisiae_YIL011W TIR3 SGDID_S000001273_ Chr IX from 333727-334536_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; member of Srp1p/Tip1p family of serine-alanine-rich proteins; expressed under anaerobic conditions and required for anaerobic growth; TIR3 has a paralog_ TIR2_ that arose from the whole genome duplication"	N_bacillisporus_jgi|Nakbac1|3254|BN123_NABA0s03e03410g.tr, N_bacillisporus_jgi|Nakbac1|3255|BN123_NABA0s03e03421g.tr, S_cerevisiae_YOR009W TIR4 SGDID_S000005535_ Chr XV from 344335-345798_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins", C_glabrata_QNG13378.1 TIR2 [Nakaseomyces glabratus], C_nivariensis_g001513.m1, C_nivariensis_g000676.m1, C_nivariensis_g000677.m1, C_nivariensis_g003610.m1, C_nivariensis_g003677.m1, C_glabrata_QNG14560.1 uncharacterized protein GWK60_H09559 [Nakaseomyces glabratus], C_glabrata_QNG14561.1 uncharacterized protein GWK60_H09581 [Nakaseomyces glabratus], C_glabrata_QNG13377.1 TIR1 [Nakaseomyces glabratus], C_nivariensis_g001514.m1, S_cerevisiae_YER011W TIR1 SGDID_S000000813_ Chr V from 175248-176012_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins", S_cerevisiae_YOR010C TIR2 SGDID_S000005536_ Chr XV from 346950-346195_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ "Putative cell wall mannoprotein; member of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis; TIR2 has a paralog_ TIR3_ that arose from the whole genome duplication"
OG0000002	N_bacillisporus	n45	1.0	Terminal	N_bacillisporus_jgi|Nakbac1|3254|BN123_NABA0s03e03410g.tr	N_bacillisporus_jgi|Nakbac1|3255|BN123_NABA0s03e03421g.tr
OG0000002	N5	n46	0.75	Non-Terminal	S_cerevisiae_YOR009W TIR4 SGDID_S000005535_ Chr XV from 344335-345798_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins", C_glabrata_QNG13378.1 TIR2 [Nakaseomyces glabratus], C_nivariensis_g001513.m1	C_nivariensis_g000676.m1, C_nivariensis_g000677.m1, C_nivariensis_g003610.m1, C_nivariensis_g003677.m1, C_glabrata_QNG14560.1 uncharacterized protein GWK60_H09559 [Nakaseomyces glabratus], C_glabrata_QNG14561.1 uncharacterized protein GWK60_H09581 [Nakaseomyces glabratus], C_glabrata_QNG13377.1 TIR1 [Nakaseomyces glabratus], C_nivariensis_g001514.m1, S_cerevisiae_YER011W TIR1 SGDID_S000000813_ Chr V from 175248-176012_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins", S_cerevisiae_YOR010C TIR2 SGDID_S000005536_ Chr XV from 346950-346195_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ "Putative cell wall mannoprotein; member of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis; TIR2 has a paralog_ TIR3_ that arose from the whole genome duplication"
OG0000002	N8	n50	1.0	Non-Terminal	C_nivariensis_g000676.m1, C_nivariensis_g000677.m1, C_nivariensis_g003610.m1, C_nivariensis_g003677.m1, C_glabrata_QNG14560.1 uncharacterized protein GWK60_H09559 [Nakaseomyces glabratus], C_glabrata_QNG14561.1 uncharacterized protein GWK60_H09581 [Nakaseomyces glabratus]	C_glabrata_QNG13377.1 TIR1 [Nakaseomyces glabratus], C_nivariensis_g001514.m1
OG0000002	C_nivariensis	n52	1.0	Terminal	C_nivariensis_g000676.m1	C_nivariensis_g000677.m1, C_nivariensis_g003610.m1, C_nivariensis_g003677.m1
OG0000002	C_nivariensis	n53	1.0	Terminal	C_nivariensis_g000677.m1	C_nivariensis_g003610.m1, C_nivariensis_g003677.m1
OG0000002	C_nivariensis	n54	1.0	Terminal	C_nivariensis_g003610.m1	C_nivariensis_g003677.m1
OG0000002	C_glabrata	n55	1.0	Terminal	C_glabrata_QNG14560.1 uncharacterized protein GWK60_H09559 [Nakaseomyces glabratus]	C_glabrata_QNG14561.1 uncharacterized protein GWK60_H09581 [Nakaseomyces glabratus]
OG0000002	S_cerevisiae	n57	1.0	Terminal	S_cerevisiae_YER011W TIR1 SGDID_S000000813_ Chr V from 175248-176012_ Genome Release 64-5-1_ Verified ORF_ "Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins"	S_cerevisiae_YOR010C TIR2 SGDID_S000005536_ Chr XV from 346950-346195_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ "Putative cell wall mannoprotein; member of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis; TIR2 has a paralog_ TIR3_ that arose from the whole genome duplication"
OG0000003	N0	n0	0.9	Non-Terminal	C_albicans_orf19.5759 SNQ2 CGDID_CAL0001479 COORDS_Ca21chr6_C_albicans_SC5314_836962-832475C_ translated using codon table 12 _1495 amino acids_ Verified ORF; Protein similar to S. cerevisiae Snq2p transporter; member of PDR subfamily of ABC family; transposon mutation affects filamentation; benomyl-induced transcription; detected at yeast-form cell plasma membrane by mass spec, C_parapsilosis_CAK9686582.1 unnamed protein product [Candida parapsilosis], C_auris_XP_028889362.2 hypothetical_protein [Candidozyma auris], C_auris_XP_028892116.2 hypothetical_protein [Candidozyma auris], S_cerevisiae_YPL058C PDR12 SGDID_S000005979_ Chr XVI from 450377-445842_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ "Plasma membrane ATP-binding cassette _ABC_ transporter; weak-acid-inducible multidrug transporter required for weak organic acid resistance; induced by sorbate and benzoate and regulated by War1p; mutants exhibit sorbate hypersensitivity", C_glabrata_QNG17028.1 uncharacterized protein GWK60_M07271 [Nakaseomyces glabratus], C_nivariensis_g003742.m1, K_lactis_XP_451960.1 ATP-binding cassette multidrug transporter PDR12 [Kluyveromyces lactis], L_kluyveri_g000923.m1, K_lactis_XP_453219.1 ATP-binding cassette transporter SNQ2 [Kluyveromyces lactis], C_glabrata_QNG16154.1 SNQ2 [Nakaseomyces glabratus], C_nivariensis_g003120.m1, S_cerevisiae_YNR070W PDR18 SGDID_S000005353_ Chr XIV from 765375-769376_ Genome Release 64-5-1_ Verified ORF_ "Transporter of the ATP-binding cassette _ABC_ family; role in plasma membrane sterol incorporation; implicated in pleiotropic drug resistance; provides resistance to ethanol stress and contributes to a decreased intracellular accumulation of ethanol; the authentic_ non-tagged protein is detected in highly purified mitochondria in high-throughput studies", S_cerevisiae_YDR011W SNQ2 SGDID_S000002418_ Chr IV from 465919-470424_ Genome Release 64-5-1_ Verified ORF_ "Plasma membrane ATP-binding cassette _ABC_ transporter; multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species", L_kluyveri_g004879.m1, L_kluyveri_g004821.m1, L_kluyveri_g002980.m1, Y_lipolytica_XP_505559.1 uncharacterized protein YALI1_F23922g [Yarrowia lipolytica]	Y_lipolytica_XP_500428.1 uncharacterized protein YALI1_B03910g [Yarrowia lipolytica], Y_lipolytica_XP_503953.3 uncharacterized protein YALI1_E17699g [Yarrowia lipolytica], Y_lipolytica_XP_500823.3 uncharacterized protein YALI1_B17155g [Yarrowia lipolytica], Y_lipolytica_XP_502044.1 uncharacterized protein YALI1_C28310g [Yarrowia lipolytica], C_auris_XP_028892569.2 multidrug_resistance_protein_CDR1 [Candidozyma auris], C_parapsilosis_CAK9685653.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685371.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685372.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685050.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685051.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685052.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9686886.1 unnamed protein product [Candida parapsilosis], C_albicans_orf19.5958 CDR2 CGDID_CAL0003382 COORDS_Ca21chr3_C_albicans_SC5314_1047995-1052494W_ translated using codon table 12 _1499 amino acids_ Verified ORF; Multidrug transporter_ ATP-binding cassette _ABC_ superfamily; transports phospholipids_ in-to-out direction; overexpressed in azole-resistant isolates; repressed in young biofilms, C_albicans_orf19.6000 CDR1 CGDID_CAL0005016 COORDS_Ca21chr3_C_albicans_SC5314_1146153-1150658W_ translated using codon table 12 _1501 amino acids_ Verified ORF; Multidrug transporter of ABC superfamily; transports phospholipids in an in-to-out direction; induced by beta-estradiol_ progesterone_ corticosteroid_ or cholesterol; Spider biofilm induced, C_albicans_orf19.918 CDR11 CGDID_CAL0003608 COORDS_Ca21chr3_C_albicans_SC5314_853313-848775C_ translated using codon table 12 _1512 amino acids_ Uncharacterized ORF; Putative transporter of PDR subfamily of ABC family; Gcn4-regulated; induced by Rim101 at pH 8; Spider biofilm induced, C_parapsilosis_CAK9684757.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9686580.1 unnamed protein product [Candida parapsilosis], C_albicans_orf19.5079 CDR4 CGDID_CAL0001762 COORDS_Ca21chr1_C_albicans_SC5314_1758073-1762545W_ translated using codon table 12 _1490 amino acids_ Verified ORF; Putative ABC transporter superfamily; fluconazole_ Sfu1_ Hog1_ core stress response induced; caspofungin repressed; fluconazole resistance not affected by mutation or correlated with expression; rat catheter and flow model biofilm induced, C_albicans_orf19.1313 CDR3 CGDID_CAL0003726 COORDS_Ca21chr4_C_albicans_SC5314_774255-773035C_ translated using codon table 12 _406 amino acids_ Verified ORF; Transporter of the Pdr/Cdr family of the ATP-binding cassette superfamily; transports phospholipids out-to-in; expressed in opaque-phase cells; induced by macrophage interaction; fluconazole-repressed; Spider biofilm induced, C_auris_XP_028891589.2 hypothetical_protein [Candidozyma auris], C_auris_XP_028892864.2 hypothetical_protein [Candidozyma auris], N_bacillisporus_jgi|Nakbac1|563|BN123_NABA0s15e02860g.tr, S_cerevisiae_YOR153W PDR5 SGDID_S000005679_ Chr XV from 619840-624375_ Genome Release 64-5-1_ Verified ORF_ "Plasma membrane ATP-binding cassette _ABC_ transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport_ cation resistance_ and cellular detoxification during exponential growth; PDR5 has a paralog_ PDR15_ that arose from the whole genome duplication", N_bacillisporus_jgi|Nakbac1|4189|BN123_NABA0s37e03102g.tr, S_cerevisiae_YDR406W PDR15 SGDID_S000002814_ Chr IV from 1279210-1283799_ Genome Release 64-5-1_ Verified ORF_ "Plasma membrane ATP binding cassette _ABC_ transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p_ Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog_ PDR5_ that arose from the whole genome duplication", C_glabrata_QNG13430.1 PDH1 [Nakaseomyces glabratus], C_nivariensis_g004887.m1, C_glabrata_QNG16780.1 CDR1 [Nakaseomyces glabratus], C_nivariensis_g004310.m1, S_cerevisiae_YOR328W PDR10 SGDID_S000005855_ Chr XV from 931803-936497_ Genome Release 64-5-1_ Verified ORF_ "ATP-binding cassette _ABC_ transporter; multidrug transporter involved in the pleiotropic drug resistance network; regulated by Pdr1p and Pdr3p", K_lactis_XP_453221.1 uncharacterized protein KLLA0_D03476g [Kluyveromyces lactis], L_kluyveri_g002487.m1, L_kluyveri_g002977.m1, K_lactis_XP_456048.1 uncharacterized protein KLLA0_F21692g [Kluyveromyces lactis], L_kluyveri_g000134.m1
OG0000003	C_auris	n5	1.0	Terminal	C_auris_XP_028889362.2 hypothetical_protein [Candidozyma auris]	C_auris_XP_028892116.2 hypothetical_protein [Candidozyma auris]
OG0000003	N3	n6	0.8333333333333334	Non-Terminal	S_cerevisiae_YPL058C PDR12 SGDID_S000005979_ Chr XVI from 450377-445842_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ "Plasma membrane ATP-binding cassette _ABC_ transporter; weak-acid-inducible multidrug transporter required for weak organic acid resistance; induced by sorbate and benzoate and regulated by War1p; mutants exhibit sorbate hypersensitivity", C_glabrata_QNG17028.1 uncharacterized protein GWK60_M07271 [Nakaseomyces glabratus], C_nivariensis_g003742.m1, K_lactis_XP_451960.1 ATP-binding cassette multidrug transporter PDR12 [Kluyveromyces lactis], L_kluyveri_g000923.m1	K_lactis_XP_453219.1 ATP-binding cassette transporter SNQ2 [Kluyveromyces lactis], C_glabrata_QNG16154.1 SNQ2 [Nakaseomyces glabratus], C_nivariensis_g003120.m1, S_cerevisiae_YNR070W PDR18 SGDID_S000005353_ Chr XIV from 765375-769376_ Genome Release 64-5-1_ Verified ORF_ "Transporter of the ATP-binding cassette _ABC_ family; role in plasma membrane sterol incorporation; implicated in pleiotropic drug resistance; provides resistance to ethanol stress and contributes to a decreased intracellular accumulation of ethanol; the authentic_ non-tagged protein is detected in highly purified mitochondria in high-throughput studies", S_cerevisiae_YDR011W SNQ2 SGDID_S000002418_ Chr IV from 465919-470424_ Genome Release 64-5-1_ Verified ORF_ "Plasma membrane ATP-binding cassette _ABC_ transporter; multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species", L_kluyveri_g004879.m1, L_kluyveri_g004821.m1, L_kluyveri_g002980.m1
OG0000003	S_cerevisiae	n15	1.0	Terminal	S_cerevisiae_YNR070W PDR18 SGDID_S000005353_ Chr XIV from 765375-769376_ Genome Release 64-5-1_ Verified ORF_ "Transporter of the ATP-binding cassette _ABC_ family; role in plasma membrane sterol incorporation; implicated in pleiotropic drug resistance; provides resistance to ethanol stress and contributes to a decreased intracellular accumulation of ethanol; the authentic_ non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	S_cerevisiae_YDR011W SNQ2 SGDID_S000002418_ Chr IV from 465919-470424_ Genome Release 64-5-1_ Verified ORF_ "Plasma membrane ATP-binding cassette _ABC_ transporter; multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species"
OG0000003	L_kluyveri	n16	1.0	Terminal	L_kluyveri_g004879.m1	L_kluyveri_g004821.m1, L_kluyveri_g002980.m1
OG0000003	L_kluyveri	n17	1.0	Terminal	L_kluyveri_g004821.m1	L_kluyveri_g002980.m1
OG0000003	Y_lipolytica	n19	1.0	Terminal	Y_lipolytica_XP_500428.1 uncharacterized protein YALI1_B03910g [Yarrowia lipolytica]	Y_lipolytica_XP_503953.3 uncharacterized protein YALI1_E17699g [Yarrowia lipolytica], Y_lipolytica_XP_500823.3 uncharacterized protein YALI1_B17155g [Yarrowia lipolytica], Y_lipolytica_XP_502044.1 uncharacterized protein YALI1_C28310g [Yarrowia lipolytica]
OG0000003	Y_lipolytica	n20	1.0	Terminal	Y_lipolytica_XP_503953.3 uncharacterized protein YALI1_E17699g [Yarrowia lipolytica]	Y_lipolytica_XP_500823.3 uncharacterized protein YALI1_B17155g [Yarrowia lipolytica], Y_lipolytica_XP_502044.1 uncharacterized protein YALI1_C28310g [Yarrowia lipolytica]
OG0000003	Y_lipolytica	n21	1.0	Terminal	Y_lipolytica_XP_500823.3 uncharacterized protein YALI1_B17155g [Yarrowia lipolytica]	Y_lipolytica_XP_502044.1 uncharacterized protein YALI1_C28310g [Yarrowia lipolytica]
OG0000003	N2	n23	1.0	Non-Terminal	C_auris_XP_028892569.2 multidrug_resistance_protein_CDR1 [Candidozyma auris], C_parapsilosis_CAK9685653.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685371.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685372.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685050.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685051.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685052.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9686886.1 unnamed protein product [Candida parapsilosis], C_albicans_orf19.5958 CDR2 CGDID_CAL0003382 COORDS_Ca21chr3_C_albicans_SC5314_1047995-1052494W_ translated using codon table 12 _1499 amino acids_ Verified ORF; Multidrug transporter_ ATP-binding cassette _ABC_ superfamily; transports phospholipids_ in-to-out direction; overexpressed in azole-resistant isolates; repressed in young biofilms, C_albicans_orf19.6000 CDR1 CGDID_CAL0005016 COORDS_Ca21chr3_C_albicans_SC5314_1146153-1150658W_ translated using codon table 12 _1501 amino acids_ Verified ORF; Multidrug transporter of ABC superfamily; transports phospholipids in an in-to-out direction; induced by beta-estradiol_ progesterone_ corticosteroid_ or cholesterol; Spider biofilm induced, C_albicans_orf19.918 CDR11 CGDID_CAL0003608 COORDS_Ca21chr3_C_albicans_SC5314_853313-848775C_ translated using codon table 12 _1512 amino acids_ Uncharacterized ORF; Putative transporter of PDR subfamily of ABC family; Gcn4-regulated; induced by Rim101 at pH 8; Spider biofilm induced	C_parapsilosis_CAK9684757.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9686580.1 unnamed protein product [Candida parapsilosis], C_albicans_orf19.5079 CDR4 CGDID_CAL0001762 COORDS_Ca21chr1_C_albicans_SC5314_1758073-1762545W_ translated using codon table 12 _1490 amino acids_ Verified ORF; Putative ABC transporter superfamily; fluconazole_ Sfu1_ Hog1_ core stress response induced; caspofungin repressed; fluconazole resistance not affected by mutation or correlated with expression; rat catheter and flow model biofilm induced, C_albicans_orf19.1313 CDR3 CGDID_CAL0003726 COORDS_Ca21chr4_C_albicans_SC5314_774255-773035C_ translated using codon table 12 _406 amino acids_ Verified ORF; Transporter of the Pdr/Cdr family of the ATP-binding cassette superfamily; transports phospholipids out-to-in; expressed in opaque-phase cells; induced by macrophage interaction; fluconazole-repressed; Spider biofilm induced, C_auris_XP_028891589.2 hypothetical_protein [Candidozyma auris], C_auris_XP_028892864.2 hypothetical_protein [Candidozyma auris]
OG0000003	C_parapsilosis	n26	1.0	Terminal	C_parapsilosis_CAK9685653.1 unnamed protein product [Candida parapsilosis]	C_parapsilosis_CAK9685371.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685372.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685050.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685051.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685052.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9686886.1 unnamed protein product [Candida parapsilosis]
OG0000003	C_parapsilosis	n27	1.0	Terminal	C_parapsilosis_CAK9685371.1 unnamed protein product [Candida parapsilosis]	C_parapsilosis_CAK9685372.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685050.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685051.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685052.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9686886.1 unnamed protein product [Candida parapsilosis]
OG0000003	C_parapsilosis	n28	1.0	Terminal	C_parapsilosis_CAK9685372.1 unnamed protein product [Candida parapsilosis]	C_parapsilosis_CAK9685050.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685051.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685052.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9686886.1 unnamed protein product [Candida parapsilosis]
OG0000003	C_parapsilosis	n29	1.0	Terminal	C_parapsilosis_CAK9685050.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9685051.1 unnamed protein product [Candida parapsilosis]	C_parapsilosis_CAK9685052.1 unnamed protein product [Candida parapsilosis], C_parapsilosis_CAK9686886.1 unnamed protein product [Candida parapsilosis]
OG0000003	C_parapsilosis	n30	1.0	Terminal	C_parapsilosis_CAK9685050.1 unnamed protein product [Candida parapsilosis]	C_parapsilosis_CAK9685051.1 unnamed protein product [Candida parapsilosis]
OG0000003	C_parapsilosis	n31	1.0	Terminal	C_parapsilosis_CAK9685052.1 unnamed protein product [Candida parapsilosis]	C_parapsilosis_CAK9686886.1 unnamed protein product [Candida parapsilosis]
OG0000003	C_albicans	n32	1.0	Terminal	C_albicans_orf19.5958 CDR2 CGDID_CAL0003382 COORDS_Ca21chr3_C_albicans_SC5314_1047995-1052494W_ translated using codon table 12 _1499 amino acids_ Verified ORF; Multidrug transporter_ ATP-binding cassette _ABC_ superfamily; transports phospholipids_ in-to-out direction; overexpressed in azole-resistant isolates; repressed in young biofilms, C_albicans_orf19.6000 CDR1 CGDID_CAL0005016 COORDS_Ca21chr3_C_albicans_SC5314_1146153-1150658W_ translated using codon table 12 _1501 amino acids_ Verified ORF; Multidrug transporter of ABC superfamily; transports phospholipids in an in-to-out direction; induced by beta-estradiol_ progesterone_ corticosteroid_ or cholesterol; Spider biofilm induced	C_albicans_orf19.918 CDR11 CGDID_CAL0003608 COORDS_Ca21chr3_C_albicans_SC5314_853313-848775C_ translated using codon table 12 _1512 amino acids_ Uncharacterized ORF; Putative transporter of PDR subfamily of ABC family; Gcn4-regulated; induced by Rim101 at pH 8; Spider biofilm induced
OG0000003	C_albicans	n33	1.0	Terminal	C_albicans_orf19.5958 CDR2 CGDID_CAL0003382 COORDS_Ca21chr3_C_albicans_SC5314_1047995-1052494W_ translated using codon table 12 _1499 amino acids_ Verified ORF; Multidrug transporter_ ATP-binding cassette _ABC_ superfamily; transports phospholipids_ in-to-out direction; overexpressed in azole-resistant isolates; repressed in young biofilms	C_albicans_orf19.6000 CDR1 CGDID_CAL0005016 COORDS_Ca21chr3_C_albicans_SC5314_1146153-1150658W_ translated using codon table 12 _1501 amino acids_ Verified ORF; Multidrug transporter of ABC superfamily; transports phospholipids in an in-to-out direction; induced by beta-estradiol_ progesterone_ corticosteroid_ or cholesterol; Spider biofilm induced
OG0000003	C_parapsilosis	n36	1.0	Terminal	C_parapsilosis_CAK9684757.1 unnamed protein product [Candida parapsilosis]	C_parapsilosis_CAK9686580.1 unnamed protein product [Candida parapsilosis]
OG0000003	C_albicans	n37	1.0	Terminal	C_albicans_orf19.5079 CDR4 CGDID_CAL0001762 COORDS_Ca21chr1_C_albicans_SC5314_1758073-1762545W_ translated using codon table 12 _1490 amino acids_ Verified ORF; Putative ABC transporter superfamily; fluconazole_ Sfu1_ Hog1_ core stress response induced; caspofungin repressed; fluconazole resistance not affected by mutation or correlated with expression; rat catheter and flow model biofilm induced	C_albicans_orf19.1313 CDR3 CGDID_CAL0003726 COORDS_Ca21chr4_C_albicans_SC5314_774255-773035C_ translated using codon table 12 _406 amino acids_ Verified ORF; Transporter of the Pdr/Cdr family of the ATP-binding cassette superfamily; transports phospholipids out-to-in; expressed in opaque-phase cells; induced by macrophage interaction; fluconazole-repressed; Spider biofilm induced
OG0000003	C_auris	n38	1.0	Terminal	C_auris_XP_028891589.2 hypothetical_protein [Candidozyma auris]	C_auris_XP_028892864.2 hypothetical_protein [Candidozyma auris]
OG0000003	N5	n40	0.5	Non-Terminal	N_bacillisporus_jgi|Nakbac1|563|BN123_NABA0s15e02860g.tr, S_cerevisiae_YOR153W PDR5 SGDID_S000005679_ Chr XV from 619840-624375_ Genome Release 64-5-1_ Verified ORF_ "Plasma membrane ATP-binding cassette _ABC_ transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport_ cation resistance_ and cellular detoxification during exponential growth; PDR5 has a paralog_ PDR15_ that arose from the whole genome duplication"	N_bacillisporus_jgi|Nakbac1|4189|BN123_NABA0s37e03102g.tr, S_cerevisiae_YDR406W PDR15 SGDID_S000002814_ Chr IV from 1279210-1283799_ Genome Release 64-5-1_ Verified ORF_ "Plasma membrane ATP binding cassette _ABC_ transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p_ Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog_ PDR5_ that arose from the whole genome duplication", C_glabrata_QNG13430.1 PDH1 [Nakaseomyces glabratus], C_nivariensis_g004887.m1, C_glabrata_QNG16780.1 CDR1 [Nakaseomyces glabratus], C_nivariensis_g004310.m1, S_cerevisiae_YOR328W PDR10 SGDID_S000005855_ Chr XV from 931803-936497_ Genome Release 64-5-1_ Verified ORF_ "ATP-binding cassette _ABC_ transporter; multidrug transporter involved in the pleiotropic drug resistance network; regulated by Pdr1p and Pdr3p"
