Orthogroup	C_albicans	C_auris	C_glabrata	C_nivariensis	C_parapsilosis	K_lactis	L_kluyveri	N_bacillisporus	S_cerevisiae	Y_lipolytica
OG0006284	orf19.1456 orf19.1456 CGDID_CAF0006926 COORDS_Ca21chr2_C_albicans_SC5314_270261-270695W_ translated using codon table 12 _144 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006285	orf19.3705 PTC6 CGDID_CAL0001065 COORDS_Ca21chrR_C_albicans_SC5314_1683895-1682594C_ translated using codon table 12 _433 amino acids_ Verified ORF; Mitochondrial protein phosphatase of the Type 2C-related family _serine/threonine-specific__ functional homolog of <i									
OG0006286	S. cerevisiae</i									
OG0006287	orf19.7480 orf19.7480 CGDID_CAL0005694 COORDS_Ca21chrR_C_albicans_SC5314_129416-130015W_ translated using codon table 12 _199 amino acids_ Dubious ORF; Putative protein of unknown function; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis									
OG0006288	orf19.1105.3 orf19.1105.3 CGDID_CAF0006917 COORDS_Ca21chr5_C_albicans_SC5314_855730-855473C_ translated using codon table 12 _85 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006289	orf19.5288.1 orf19.5288.1 CGDID_CAL0120843 COORDS_Ca21chrR_C_albicans_SC5314_1147642-1147827W_ translated using codon table 12 _61 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm repressed									
OG0006290	orf19.5966 orf19.5966 CGDID_CAL0003405 COORDS_Ca21chr3_C_albicans_SC5314_1072430-1072771W_ translated using codon table 12 _113 amino acids_ Dubious ORF; Protein of unknown function									
OG0006291	orf19.1146 orf19.1146 CGDID_CAL0002008 COORDS_Ca21chr1_C_albicans_SC5314_2568243-2568611W_ translated using codon table 12 _122 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006292	orf19.3851 orf19.3851 CGDID_CAL0002087 COORDS_Ca21chrR_C_albicans_SC5314_1281002-1282129W_ translated using codon table 12 _375 amino acids_ Uncharacterized ORF; Protein of unknown function; induced by alpha pheromone in SpiderM medium									
OG0006293	orf19.2725 orf19.2725 CGDID_CAL0004201 COORDS_Ca21chr4_C_albicans_SC5314_567228-566926C_ translated using codon table 12 _100 amino acids_ Dubious ORF; Protein of unknown function									
OG0006294	orf19.3884 FGR50 CGDID_CAL0002180 COORDS_Ca21chrR_C_albicans_SC5314_1337424-1336690C_ translated using codon table 12 _244 amino acids_ Verified ORF; Protein lacking an ortholog in S. cerevisiae; transposon mutation affects filamentous growth; Spider biofilm repressed									
OG0006295	orf19.876 PGA33 CGDID_CAL0002859 COORDS_Ca21chr2_C_albicans_SC5314_719652-720392W_ translated using codon table 12 _246 amino acids_ Uncharacterized ORF; Putative GPI-anchored protein of unknown function; Spider biofilm repressed									
OG0006296	orf19.711 orf19.711 CGDID_CAL0001738 COORDS_Ca21chrR_C_albicans_SC5314_1397067-1396726C_ translated using codon table 12 _113 amino acids_ Uncharacterized ORF; Protein of unknown function; induced by nitric oxide; predicted ORF from Assembly 19; removed from Assembly 20; restored based on transcription data									
OG0006297	orf19.134 orf19.134 CGDID_CAL0003075 COORDS_Ca21chr6_C_albicans_SC5314_244274-244684W_ translated using codon table 12 _136 amino acids_ Dubious ORF; Protein of unknown function; overlaps retrotransposon Tca13; ciclopirox olamine induced									
OG0006298	orf19.2553 orf19.2553 CGDID_CAL0002479 COORDS_Ca21chrR_C_albicans_SC5314_375284-374217C_ translated using codon table 12 _355 amino acids_ Uncharacterized ORF; Protein similar to S. cerevisiae Pmr1p; amphotericin B induced; previously merged with orf19.2552 in Assembly 20; unmerged from orf19.2552 in a revision of Assembly 21									
OG0006299	orf19.149 orf19.149 CGDID_CAL0003129 COORDS_Ca21chr2_C_albicans_SC5314_980006-980443W_ translated using codon table 12 _145 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays									
OG0006300	orf19.2833 PGA34 CGDID_CAL0005110 COORDS_Ca21chrR_C_albicans_SC5314_630659-630066C_ translated using codon table 12 _197 amino acids_ Uncharacterized ORF; Putative GPI-anchored protein; transcript repressed by alpha pheromone in SpiderM medium; induced in oralpharyngeal candidasis; flow model biofilm induced; Spider biofilm induced									
OG0006301	orf19.6413 orf19.6413 CGDID_CAL0002135 COORDS_Ca21chrR_C_albicans_SC5314_1821704-1823557W_ translated using codon table 12 _617 amino acids_ Uncharacterized ORF; Protein of unknown function; rat catheter biofilm induced									
OG0006302	orf19.4321 orf19.4321 CGDID_CAL0000948 COORDS_Ca21chr5_C_albicans_SC5314_655423-654971C_ translated using codon table 12 _150 amino acids_ Dubious ORF; Protein of unknown function									
OG0006303	orf19.4358 orf19.4358 CGDID_CAL0001047 COORDS_Ca21chrR_C_albicans_SC5314_864755-865057W_ translated using codon table 12 _100 amino acids_ Uncharacterized ORF; Putative protein of unknown function; Hap43p-repressed gene; <I									
OG0006304	S. cerevisiae</I									
OG0006305	orf19.5684.1 orf19.5684.1 CGDID_CAL0120868 COORDS_Ca21chr5_C_albicans_SC5314_14763-15059W_ translated using codon table 12 _98 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006306	orf19.823 orf19.823 CGDID_CAL0002679 COORDS_Ca21chr2_C_albicans_SC5314_838001-837333C_ translated using codon table 12 _222 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006307	orf19.848 PGA16 CGDID_CAL0002755 COORDS_Ca21chr2_C_albicans_SC5314_789616-789939W_ translated using codon table 12 _107 amino acids_ Uncharacterized ORF; Putative GPI-anchored protein									
OG0006308	orf19.741 orf19.741 CGDID_CAL0001832 COORDS_Ca21chr4_C_albicans_SC5314_1104710-1104396C_ translated using codon table 12 _104 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006309	orf19.2024 orf19.2024 CGDID_CAL0004360 COORDS_Ca21chr2_C_albicans_SC5314_163117-163476W_ translated using codon table 12 _119 amino acids_ Dubious ORF; Protein of unknown function									
OG0006310	orf19.6338 orf19.6338 CGDID_CAL0001304 COORDS_Ca21chr6_C_albicans_SC5314_3622-4008W_ translated using codon table 12 _128 amino acids_ Dubious ORF; Protein of unknown function									
OG0006311	orf19.2701 orf19.2701 CGDID_CAL0004164 COORDS_Ca21chr4_C_albicans_SC5314_605540-606058W_ translated using codon table 12 _172 amino acids_ Uncharacterized ORF; Protein of unknown function; Ras1 and Cyr1 repressed; rat catheter and Spider biofilm induced									
OG0006312	orf19.1508 orf19.1508 CGDID_CAL0005391 COORDS_Ca21chr2_C_albicans_SC5314_367585-367250C_ translated using codon table 12 _111 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays									
OG0006313	orf19.2509.1 orf19.2509.1 CGDID_CAL0120629 COORDS_Ca21chr3_C_albicans_SC5314_216500-216709W_ translated using codon table 12 _69 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006314	orf19.5474 orf19.5474 CGDID_CAL0005318 COORDS_Ca21chr3_C_albicans_SC5314_4880-3828C_ translated using codon table 12 _350 amino acids_ Uncharacterized ORF; Protein of unknown function; induced by Mnl1 under weak acid stress; transcript detected on high-resolution tiling arrays; Spider biofilm repressed									
OG0006315	orf19.4786 FGR43 CGDID_CAL0004591 COORDS_Ca21chr1_C_albicans_SC5314_2036879-2038543W_ translated using codon table 12 _554 amino acids_ Verified ORF; Protein lacking an S. cerevisiae ortholog; transposon mutation affects filamentous growth; induced by by Mnl1 under weak acid stress									
OG0006316	orf19.2766 orf19.2766 CGDID_CAL0004256 COORDS_Ca21chr4_C_albicans_SC5314_479521-479829W_ translated using codon table 12 _102 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006317	orf19.1409.3 orf19.1409.3 CGDID_CAL0120525 COORDS_Ca21chr4_C_albicans_SC5314_940662-940387C_ translated using codon table 12 _91 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006318	orf19.6547 orf19.6547 CGDID_CAL0003192 COORDS_Ca21chr7_C_albicans_SC5314_379041-379388W_ translated using codon table 12 _115 amino acids_ Dubious ORF; Protein of unknown function									
OG0006319	orf19.7555 orf19.7555 CGDID_CAL0000093 COORDS_Ca21chrR_C_albicans_SC5314_2097154-2096717C_ translated using codon table 12 _145 amino acids_ Dubious ORF; Protein of unknown function									
OG0006320	orf19.6899 orf19.6899 CGDID_CAL0005929 COORDS_Ca21chr7_C_albicans_SC5314_247260-246118C_ translated using codon table 12 _380 amino acids_ Verified ORF; Putative oxidoreductase; mutation confers hypersensitivity to toxic ergosterol analog; rat catheter and Spider biofilm induced									
OG0006321	orf19.598 orf19.598 CGDID_CAL0000379 COORDS_Ca21chrR_C_albicans_SC5314_1749168-1748791C_ translated using codon table 12 _125 amino acids_ Dubious ORF; Protein of unknown function									
OG0006322	orf19.658 GIN1 CGDID_CAL0001036 COORDS_Ca21chr1_C_albicans_SC5314_2511975-2508271C_ translated using codon table 12 _1234 amino acids_ Verified ORF; Protein involved in regulation of DNA-damage-induced filamentous growth; putative component of DNA replication checkpoint; ortholog of <i									
OG0006323	S. cerevisiae</i									
OG0006324	orf19.1850 SIW14 CGDID_CAL0001689 COORDS_Ca21chrR_C_albicans_SC5314_1464400-1463555C_ translated using codon table 12 _281 amino acids_ Verified ORF; Putative protein phosphatase of the PTP family _tyrosine-specific__ similar to <i									
OG0006325	S. cerevisiae</i									
OG0006326	orf19.2181 orf19.2181 CGDID_CAF0006940 COORDS_Ca21chr2_C_albicans_SC5314_1632310-1632840W_ translated using codon table 12 _176 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006327	orf19.7348 orf19.7348 CGDID_CAL0004645 COORDS_Ca21chr3_C_albicans_SC5314_1269897-1269577C_ translated using codon table 12 _106 amino acids_ Dubious ORF; Protein of unknown function									
OG0006328	orf19.2625 orf19.2625 CGDID_CAL0003410 COORDS_Ca21chrR_C_albicans_SC5314_1638206-1637901C_ translated using codon table 12 _101 amino acids_ Dubious ORF; Protein of unknown function									
OG0006329	orf19.6242 CYK3 CGDID_CAL0000494 COORDS_Ca21chr1_C_albicans_SC5314_1432024-1432983W_ translated using codon table 12 _319 amino acids_ Verified ORF; Essential protein involved in cytokinesis; contains an SH3 domain									
OG0006330	orf19.263.1 orf19.263.1 CGDID_CAF0007443 COORDS_Ca21chr3_C_albicans_SC5314_588472-589302W_ translated using codon table 12 _70 amino acids_ Uncharacterized ORF; Protein of unknown function; gene has intron; Spider biofilm induced									
OG0006331	orf19.915 orf19.915 CGDID_CAL0003604 COORDS_Ca21chrR_C_albicans_SC5314_1403641-1401527C_ translated using codon table 12 _704 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006332	orf19.2585 orf19.2585 CGDID_CAL0002545 COORDS_Ca21chrR_C_albicans_SC5314_419555-418965C_ translated using codon table 12 _196 amino acids_ Dubious ORF; Protein of unknown function									
OG0006333	orf19.3330.3 POX18 CGDID_CAF0006983 COORDS_Ca21chr1_C_albicans_SC5314_280830-280432C_ translated using codon table 12 _132 amino acids_ Uncharacterized ORF; Similar to Pox18_ a peroxisomal protein; induced during chlamydospore formation in C. albicans and C. dubliniensis; A21 sequence updated based on new sequence and analysis_ the allelic orf19.10841 was reinstated; Spider biofilm induced									
OG0006334	orf19.3781 orf19.3781 CGDID_CAL0001295 COORDS_Ca21chr4_C_albicans_SC5314_1067081-1065681C_ translated using codon table 12 _466 amino acids_ Uncharacterized ORF; Protein of unknown function; Hap43-repressed; Spider biofilm induced									
OG0006335	orf19.1409.2 orf19.1409.2 CGDID_CAL0120523 COORDS_Ca21chr4_C_albicans_SC5314_935405-935121C_ translated using codon table 12 _94 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006336	orf19.6115 orf19.6115 CGDID_CAL0005960 COORDS_Ca21chr1_C_albicans_SC5314_4059-4397W_ translated using codon table 12 _112 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006337	orf19.3059.1 orf19.3059.1 CGDID_CAL0120667 COORDS_Ca21chr1_C_albicans_SC5314_749169-749267W_ translated using codon table 12 _32 amino acids_ Uncharacterized ORF; ORF added to Assembly 21 based on comparative genome analysis; overlaps orf19.3059.2_ which is annotated as a blocked reading frame									
OG0006338	orf19.3368 orf19.3368 CGDID_CAL0004178 COORDS_Ca21chr4_C_albicans_SC5314_713682-713377C_ translated using codon table 12 _101 amino acids_ Dubious ORF; Protein of unknown function									
OG0006339	orf19.1166 CTA3 CGDID_CAL0002073 COORDS_Ca21chr1_C_albicans_SC5314_2538201-2534209C_ translated using codon table 12 _1296 amino acids_ Verified ORF; Protein similar to <i									
OG0006340	S. cerevisiae</i									
OG0006341	orf19.7609 PGA11 CGDID_CAL0000800 COORDS_Ca21chrR_C_albicans_SC5314_2201728-2202102W_ translated using codon table 12 _124 amino acids_ Uncharacterized ORF; Putative GPI-anchored protein									
OG0006342	orf19.5382 orf19.5382 CGDID_CAF0007035 COORDS_Ca21chr3_C_albicans_SC5314_138356-138817W_ translated using codon table 12 _153 amino acids_ Dubious ORF; Protein of unknown function									
OG0006343	orf19.5502 orf19.5502 CGDID_CAL0006059 COORDS_Ca21chr7_C_albicans_SC5314_836280-837017W_ translated using codon table 12 _245 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006344	orf19.1714 PGA44 CGDID_CAL0000779 COORDS_Ca21chr3_C_albicans_SC5314_295375-294452C_ translated using codon table 12 _307 amino acids_ Uncharacterized ORF; Putative GPI-anchored protein									
OG0006345	orf19.4803 orf19.4803 CGDID_CAL0005289 COORDS_Ca21chr1_C_albicans_SC5314_2074984-2075361W_ translated using codon table 12 _125 amino acids_ Dubious ORF; Protein of unknown function									
OG0006346	orf19.6731.1 orf19.6731.1 CGDID_CAF0007086 COORDS_Ca21chr3_C_albicans_SC5314_1733541-1733810W_ translated using codon table 12 _89 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006347	orf19.1737 orf19.1737 CGDID_CAL0000837 COORDS_Ca21chrR_C_albicans_SC5314_1018776-1018420C_ translated using codon table 12 _118 amino acids_ Dubious ORF; Protein of unknown function									
OG0006348	orf19.4685 orf19.4685 CGDID_CAL0003823 COORDS_Ca21chr4_C_albicans_SC5314_206797-207114W_ translated using codon table 12 _105 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006349	orf19.6833.2 orf19.6833.2 CGDID_CAF0007088 COORDS_Ca21chr1_C_albicans_SC5314_916866-917234W_ translated using codon table 12 _122 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006350	orf19.258 orf19.258 CGDID_CAL0004018 COORDS_Ca21chr3_C_albicans_SC5314_576625-577383W_ translated using codon table 12 _252 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006351	orf19.4085 orf19.4085 CGDID_CAL0004938 COORDS_Ca21chr2_C_albicans_SC5314_1893264-1892623C_ translated using codon table 12 _213 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays									
OG0006352	orf19.334 orf19.334 CGDID_CAL0004747 COORDS_Ca21chr3_C_albicans_SC5314_709155-708583C_ translated using codon table 12 _190 amino acids_ Uncharacterized ORF; Protein of unknown function; flow model biofilm induced; Spider biofilm induced; regulated by Sef1_ Sfu1_ and Hap43									
OG0006353	orf19.1935 orf19.1935 CGDID_CAL0002563 COORDS_Ca21chr5_C_albicans_SC5314_296722-297168W_ translated using codon table 12 _148 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006354	orf19.5785 orf19.5785 CGDID_CAL0001540 COORDS_Ca21chr2_C_albicans_SC5314_628280-629158W_ translated using codon table 12 _292 amino acids_ Uncharacterized ORF; Protein of unknown function; upregulated in a cyr1 or ras1 null mutant; induced by nitric oxide									
OG0006355	orf19.3897 orf19.3897 CGDID_CAL0002205 COORDS_Ca21chr5_C_albicans_SC5314_924687-925949W_ translated using codon table 12 _420 amino acids_ Uncharacterized ORF; Protein of unknown function; decreased transcription is observed upon fluphenazine treatment or in an azole-resistant strain that overexpresses CDR1 and CDR2; transcription is repressed in response to alpha pheromone in SpiderM medium									
OG0006356	orf19.750 orf19.750 CGDID_CAL0001860 COORDS_Ca21chr1_C_albicans_SC5314_1023818-1023282C_ translated using codon table 12 _178 amino acids_ Uncharacterized ORF; Protein of unknown function; exogenously expressed protein is a substrate for Kex2p processing in vitro									
OG0006357	orf19.3888.2 orf19.3888.2 CGDID_CAF0006999 COORDS_Ca21chrR_C_albicans_SC5314_1346388-1346101C_ translated using codon table 12 _95 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006358	orf19.6510 GRX1 CGDID_CAL0003068 COORDS_Ca21chr7_C_albicans_SC5314_461000-461371W_ translated using codon table 12 _123 amino acids_ Uncharacterized ORF; Putative glutaredoxin; induced in low iron									
OG0006359	orf19.1611 orf19.1611 CGDID_CAL0006332 COORDS_Ca21chr3_C_albicans_SC5314_510704-509772C_ translated using codon table 12 _310 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006360	orf19.1620 orf19.1620 CGDID_CAL0006362 COORDS_Ca21chr3_C_albicans_SC5314_488994-488506C_ translated using codon table 12 _162 amino acids_ Uncharacterized ORF; Protein of unknown function; induced by alpha pheromone in SpiderM medium									
OG0006361	orf19.7022 orf19.7022 CGDID_CAL0001971 COORDS_Ca21chr7_C_albicans_SC5314_192481-191453C_ translated using codon table 12 _342 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006362	orf19.7266 orf19.7266 CGDID_CAL0003936 COORDS_Ca21chr1_C_albicans_SC5314_3176504-3176818W_ translated using codon table 12 _104 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006363	orf19.6192 orf19.6192 CGDID_CAL0006144 COORDS_Ca21chr3_C_albicans_SC5314_1796318-1795917C_ translated using codon table 12 _133 amino acids_ Dubious ORF; Protein of unknown function; Plc1-regulated; transcript detected in high-resolution tiling arrays									
OG0006364	orf19.1725 orf19.1725 CGDID_CAL0000807 COORDS_Ca21chr3_C_albicans_SC5314_271592-269415C_ translated using codon table 12 _725 amino acids_ Uncharacterized ORF; Putative adhesin-like protein									
OG0006365	orf19.5422 orf19.5422 CGDID_CAL0005206 COORDS_Ca21chr3_C_albicans_SC5314_63282-63911W_ translated using codon table 12 _209 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006366	orf19.1113 orf19.1113 CGDID_CAL0001877 COORDS_Ca21chr5_C_albicans_SC5314_840136-839369C_ translated using codon table 12 _255 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006367	orf19.4570 orf19.4570 CGDID_CAL0002860 COORDS_Ca21chr4_C_albicans_SC5314_437692-437252C_ translated using codon table 12 _146 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006368	orf19.2317 orf19.2317 CGDID_CAL0000676 COORDS_Ca21chr1_C_albicans_SC5314_2423366-2423899W_ translated using codon table 12 _177 amino acids_ Uncharacterized ORF; Protein of unknown function; induced by alpha pheromone in SpiderM medium									
OG0006369	orf19.6288 orf19.6288 CGDID_CAL0000599 COORDS_Ca21chrR_C_albicans_SC5314_1655046-1654552C_ translated using codon table 12 _164 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006370	orf19.1677 orf19.1677 CGDID_CAL0000110 COORDS_Ca21chr3_C_albicans_SC5314_360648-361445W_ translated using codon table 12 _265 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays									
OG0006371	orf19.5213 orf19.5213 CGDID_CAL0003502 COORDS_Ca21chr2_C_albicans_SC5314_1208528-1210972W_ translated using codon table 12 _814 amino acids_ Uncharacterized ORF; Putative protein of unknown function; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis									
OG0006372	orf19.761 TCO89 CGDID_CAL0001891 COORDS_Ca21chr1_C_albicans_SC5314_1001683-1003809W_ translated using codon table 12 _708 amino acids_ Verified ORF; Putative homolog of <i									
OG0006373	S. cerevisiae</i									
OG0006374	orf19.2800 orf19.2800 CGDID_CAF0007415 COORDS_Ca21chr1_C_albicans_SC5314_1630691-1630786W_ translated using codon table 12 _31 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006375	orf19.6986 orf19.6986 CGDID_CAL0000400 COORDS_Ca21chr3_C_albicans_SC5314_1234025-1236232W_ translated using codon table 12 _735 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006376	orf19.599 orf19.599 CGDID_CAL0000382 COORDS_Ca21chrR_C_albicans_SC5314_1743292-1742933C_ translated using codon table 12 _119 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006377	orf19.3280 orf19.3280 CGDID_CAF0006980 COORDS_Ca21chrR_C_albicans_SC5314_178157-178540W_ translated using codon table 12 _127 amino acids_ Dubious ORF; Protein of unknown function									
OG0006378	orf19.1551 orf19.1551 CGDID_CAL0005523 COORDS_Ca21chr2_C_albicans_SC5314_461669-462172W_ translated using codon table 12 _167 amino acids_ Uncharacterized ORF; Predicted protein of unknown function; overlaps CPR3/orf19.1552									
OG0006379	orf19.3087.1 orf19.3087.1 CGDID_CAL0120672 COORDS_Ca21chr4_C_albicans_SC5314_1585128-1584886C_ translated using codon table 12 _80 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006380	orf19.1671.1 orf19.1671.1 CGDID_CAL0125465 COORDS_Ca21chr3_C_albicans_SC5314_380172-379786C_ translated using codon table 12 _128 amino acids_ Uncharacterized ORF; Predicted ORF added to Assembly 21 based on sequence re-analysis									
OG0006381	orf19.3320 orf19.3320 CGDID_CAL0004086 COORDS_Ca21chr1_C_albicans_SC5314_259001-259354W_ translated using codon table 12 _117 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006382	orf19.4984 orf19.4984 CGDID_CAL0000011 COORDS_Ca21chr1_C_albicans_SC5314_2964525-2966081W_ translated using codon table 12 _518 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006383	orf19.3264.1 orf19.3264.1 CGDID_CAL0120684 COORDS_Ca21chrR_C_albicans_SC5314_206338-206502W_ translated using codon table 12 _54 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm repressed									
OG0006384	orf19.5104 LTP1 CGDID_CAL0002489 COORDS_Ca21chr1_C_albicans_SC5314_1809691-1809023C_ translated using codon table 12 _168 amino acids_ Uncharacterized ORF; Putative protein phosphatase of the PTP family _tyrosine-specific__ similar to <i									
OG0006385	S. cerevisiae</i									
OG0006386	orf19.4378 PPH3 CGDID_CAL0001121 COORDS_Ca21chrR_C_albicans_SC5314_848828-847833C_ translated using codon table 12 _306 amino acids_ Verified ORF; Putative catalytic subunit of protein phosphatase complex; functions with regulatory subunit Psy2p in dephosphorylation of Rad53p in response to DNA damage; dephosphorylates Rfa2p in G1 phase; ortholog of <i									
OG0006387	S. cerevisiae</i									
OG0006388	orf19.3238 orf19.3238 CGDID_CAL0003294 COORDS_Ca21chrR_C_albicans_SC5314_269104-269505W_ translated using codon table 12 _133 amino acids_ Dubious ORF; Protein of unknown function									
OG0006389	orf19.3503 orf19.3503 CGDID_CAL0005767 COORDS_Ca21chr6_C_albicans_SC5314_425580-425888W_ translated using codon table 12 _102 amino acids_ Dubious ORF; Protein of unknown function									
OG0006390	orf19.2668 RHD2 CGDID_CAL0003497 COORDS_Ca21chr4_C_albicans_SC5314_680277-679360C_ translated using codon table 12 _305 amino acids_ Uncharacterized ORF; Predicted ORF in retrotransposon Tca4 with similarity to the Gag region encoding nucleocapsid-like protein; overlaps blocked reading frame orf19.2668.1; yeast-enriched transcript; rat catheter biofilm induced									
OG0006391	orf19.994 orf19.994 CGDID_CAL0003846 COORDS_Ca21chr1_C_albicans_SC5314_2325641-2326189W_ translated using codon table 12 _182 amino acids_ Uncharacterized ORF; Protein of unknown function; induced by Mnl1 under weak acid stress; flow model biofilm repressed									
OG0006392	orf19.3460 orf19.3460 CGDID_CAL0005029 COORDS_Ca21chr6_C_albicans_SC5314_458642-458241C_ translated using codon table 12 _133 amino acids_ Uncharacterized ORF; Protein of unknown function; mRNA binds She3; transcript regulated upon yeast-hypha switch; induced in oralpharyngeal candidasis									
OG0006393	orf19.7557 FGR46 CGDID_CAL0000097 COORDS_Ca21chrR_C_albicans_SC5314_2100712-2100350C_ translated using codon table 12 _120 amino acids_ Verified ORF; Protein lacking an ortholog in S. cerevisiae; transposon mutation affects filamentous growth									
OG0006394	orf19.204 orf19.204 CGDID_CAL0003870 COORDS_Ca21chr2_C_albicans_SC5314_1840232-1839618C_ translated using codon table 12 _204 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006395	orf19.7457 orf19.7457 CGDID_CAL0005589 COORDS_Ca21chr3_C_albicans_SC5314_1526234-1525350C_ translated using codon table 12 _294 amino acids_ Uncharacterized ORF; Protein with Mob2p-dependent hyphal regulation									
OG0006396	orf19.2633.1 orf19.2633.1 CGDID_CAL0120647 COORDS_Ca21chrR_C_albicans_SC5314_1679746-1679940W_ translated using codon table 12 _64 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006397	orf19.3600 orf19.3600 CGDID_CAL0000269 COORDS_Ca21chr2_C_albicans_SC5314_1778986-1779687W_ translated using codon table 12 _233 amino acids_ Uncharacterized ORF; Protein of unknown function; flow model biofilm induced									
OG0006398	orf19.6390 orf19.6390 CGDID_CAL0001421 COORDS_Ca21chrR_C_albicans_SC5314_1792049-1791747C_ translated using codon table 12 _100 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006399	orf19.2624 orf19.2624 CGDID_CAL0003408 COORDS_Ca21chrR_C_albicans_SC5314_1636564-1634741C_ translated using codon table 12 _607 amino acids_ Uncharacterized ORF; Protein of unknown function; downregulated by fluphenazine treatment or in an azole-resistant strain that overexpresses CDR1 and CDR2									
OG0006400	orf19.3336 orf19.3336 CGDID_CAL0004124 COORDS_Ca21chr1_C_albicans_SC5314_296059-296517W_ translated using codon table 12 _152 amino acids_ Dubious ORF; Protein of unknown function									
OG0006401	orf19.7271 orf19.7271 CGDID_CAL0003956 COORDS_Ca21chr1_C_albicans_SC5314_3181309-3181629W_ translated using codon table 12 _106 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays									
OG0006402	orf19.3721 orf19.3721 CGDID_CAL0001133 COORDS_Ca21chrR_C_albicans_SC5314_542623-542955W_ translated using codon table 12 _110 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006403	orf19.1286 orf19.1286 CGDID_CAL0003063 COORDS_Ca21chr5_C_albicans_SC5314_896840-896484C_ translated using codon table 12 _118 amino acids_ Dubious ORF; Protein of unknown function									
OG0006404	orf19.1116 orf19.1116 CGDID_CAL0001882 COORDS_Ca21chr5_C_albicans_SC5314_836896-836270C_ translated using codon table 12 _208 amino acids_ Uncharacterized ORF; Protein of unknown function; planktonic growth-induced gene									
OG0006405	orf19.862 orf19.862 CGDID_CAL0002808 COORDS_Ca21chr2_C_albicans_SC5314_757498-756788C_ translated using codon table 12 _236 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced									
OG0006406	orf19.3907 orf19.3907 CGDID_CAL0002826 COORDS_Ca21chr5_C_albicans_SC5314_942666-942355C_ translated using codon table 12 _103 amino acids_ Dubious ORF; Protein of unknown function									
OG0006407	orf19.1831 orf19.1831 CGDID_CAL0001651 COORDS_Ca21chr1_C_albicans_SC5314_2349094-2348672C_ translated using codon table 12 _140 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006408	orf19.2537 orf19.2537 CGDID_CAL0002446 COORDS_Ca21chrR_C_albicans_SC5314_349387-349046C_ translated using codon table 12 _113 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays									
