TXNAME	GENEID
rna-NM_001180320.3	RPL4B
rna-NM_001180321.3	PSF1
rna-NM_001180322.1	RAD61
rna-NM_001184688.1	HED1
rna-NM_001180329.3	FAL1
rna-NM_001180331.1	SES1
rna-NM_001180333.3	RPS11A
rna-NM_001348809.1	YDR029W
rna-NM_001180339.3	MIX14
rna-NR_188203.1	SUT053
rna-NM_001180341.1	MRH1
rna-NM_001184327.3	CPP3
rna-NM_001180343.3	ARO3
rna-NM_001180345.1	KRS1
rna-NM_001180349.1	RSM10
rna-NM_001180352.1	HEM13
rna-NM_001180355.3	HEM12
rna-NM_001180357.1	VMS1
rna-NM_001180363.1	PST1
rna-NM_001180365.3	YOS9
rna-NM_001180368.3	MAK21
rna-NM_001180369.3	YDR061W
rna-NM_001180370.1	LCB2
rna-NM_001180371.1	AIM7
rna-NM_001180372.3	RPS13
rna-NM_001180373.3	RRG1
rna-NM_001180376.3	DOS2
rna-NM_001180381.3	SNF11
rna-NM_001180382.1	TPS2
rna-NM_001180383.1	PPH3
rna-NM_001180384.3	RAD55
rna-NM_001180385.3	SED1
rna-NM_001180387.1	PET100
rna-NM_001180388.3	VPS41
rna-NM_001180390.1	STN1
rna-NM_001180391.3	RRP8
rna-NM_001180397.1	VTC5
rna-NM_001180400.3	UBC13
rna-NM_001180401.1	DNF2
rna-NM_001180404.1	GIS1
rna-NM_001180407.3	BMH2
rna-NM_001180408.3	TVP15
rna-NM_001180411.1	STE5
rna-NM_001180414.1	ARP10
rna-NM_001180416.3	TRS85
rna-NM_001180418.1	FOB1
rna-NM_001180423.1	MRX14
rna-NM_001180426.3	APC4
rna-NM_001180427.1	VBA4
rna-NM_001184681.1	COX26
rna-NM_001180429.3	DPB4
rna-NM_001180430.1	KIN1
rna-NM_001180432.3	YDR124W
rna-NM_001180434.1	SWF1
rna-NM_001180435.1	ARO1
rna-NM_001180436.3	MTC5
rna-NM_001180444.1	RGP1
rna-NM_001180445.1	HPR1
rna-NM_001180447.3	MTQ2
rna-NM_001180452.1	TAF12
rna-NM_001180454.3	EKI1
rna-NM_001180457.1	NUM1
rna-NM_001180459.3	GIR2
rna-NM_001180463.1	RPA14
rna-NM_001348811.1	YDR157W
rna-NM_001180465.3	HOM2
rna-NM_001180466.3	SAC3
rna-NM_001180467.1	SSY1
rna-NM_001180468.1	ACL4
rna-NM_001180470.3	CWC15
rna-NM_001180472.1	TRM82
rna-NM_001180474.3	TAF10
rna-NM_001180475.1	CDC37
rna-NM_001184320.1	YDR170W-A
rna-NM_001180478.1	HSP42
rna-NM_001180479.3	SUP35
rna-NM_001180481.1	HMO1
rna-NM_001180483.3	NGG1
rna-NM_001180484.3	UBC1
rna-NM_001180485.1	SDH4
rna-NM_001180487.3	NVJ3
rna-NM_001180488.3	SCC2
rna-NM_001180490.1	CDC1
rna-NM_001184545.3	YDR182W-A
rna-NM_001180491.3	PLP1
rna-NM_001180496.3	CCT6
rna-NM_001180497.1	SLY1
rna-NM_001180499.3	HST4
rna-NM_001184546.1	YDR194W-A
rna-NM_001180503.3	REF2
rna-NM_001180505.1	CBS2
rna-NM_001180509.3	SPC19
rna-NM_001180512.1	COQ4
rna-NM_001180513.3	MSC2
rna-NM_001180514.3	EBS1
rna-NM_001180516.1	MSS4
rna-NM_001180518.3	CPP2
rna-NM_001184418.1	YDR210W-A
rna-NM_001184419.4	YDR210W-B
rna-NM_001180519.3	GCD6
rna-NM_001180520.1	TCP1
rna-NM_001180521.1	UPC2
rna-NM_001180522.3	AHA1
rna-NM_001180524.3	ADR1
rna-NM_001180529.3	GTB1
rna-NM_001180530.1	YDR222W
rna-NM_001180531.1	CRF1
rna-NM_001180533.3	HTA1
rna-NM_001180534.1	ADK1
rna-NM_001180535.1	SIR4
rna-NM_001180537.3	IVY1
rna-NM_001180540.1	HEM1
rna-NM_001180542.3	LYS4
rna-NM_001180543.1	PRP42
rna-NM_001180545.3	MRPL7
rna-NM_001180550.3	AMD2
rna-NM_001180552.1	PEX5
rna-NM_001180553.1	MNN10
rna-NM_001180554.3	TRS23
rna-NM_001184547.3	YDR246W-A
rna-NM_001180555.1	VHS1
rna-NM_001180559.3	PAM1
rna-NM_001180560.1	BTT1
rna-NM_001180562.3	CHL4
rna-NM_001184422.3	YDR261W-A
rna-NM_001184423.4	YDR261W-B
rna-NM_001180570.3	YDR262W
rna-NM_001180573.1	PEX10
rna-NM_001180576.1	MSW1
rna-NM_001180578.1	CCC2
rna-NM_001180580.3	GLO2
rna-NM_001180581.3	DON1
rna-NM_001180583.1	TLD1
rna-NM_001180587.3	RNH202
rna-NM_001180588.1	RRP45
rna-NM_001180593.1	ZIP1
rna-NM_001180595.3	INM2
rna-NM_001180596.1	NSE3
rna-NM_001180599.3	HRQ1
rna-NM_001180604.3	MHR1
rna-NM_001180605.1	SUR2
rna-NM_001180607.3	BFR2
rna-NM_001180609.1	CFT1
rna-NM_001180610.1	GPI11
rna-NM_001180615.3	PMT7
rna-NM_001180619.3	TFB1
rna-NM_001180620.3	SSF2
rna-NM_001180624.3	OMS1
rna-NM_001184424.1	YDR316W-A
rna-NM_001184425.2	YDR316W-B
rna-NM_001180625.3	HIM1
rna-NM_001180626.3	MCM21
rna-NM_001180629.3	ASP1
rna-NM_001180630.1	MRPL35
rna-NM_001180633.1	YCG1
rna-NM_001180638.1	UBX5
rna-NM_001180639.1	GPI8
rna-NM_001180640.3	IRC3
rna-NM_001180642.1	SWR1
rna-NM_001180643.1	MSN5
rna-NM_001180644.3	MRX8
rna-NM_001180645.3	MRPS28
rna-NM_001180655.3	MRP1
rna-NM_001180659.3	SBE2
rna-NM_001180660.1	YPQ2
rna-NM_001180661.1	TRR1
rna-NM_001180662.3	TRP4
rna-NM_001180664.3	SPC110
rna-NM_001180666.1	GGA1
rna-NM_001180671.1	ESC2
rna-NM_001184328.3	SEM1
rna-NM_001184426.3	YDR365W-A
rna-NM_001184427.2	YDR365W-B
rna-NM_001180675.1	KEI1
rna-NM_001180676.1	YPR1
rna-NM_001180679.1	CTS2
rna-NM_001180681.3	FRQ1
rna-NM_001184680.1	WIP1
rna-NM_001180684.3	ARH1
rna-NM_001180685.3	ATP17
rna-NM_001180687.1	RGA2
rna-NM_001180688.3	ARO10
rna-NM_001180689.1	YRA1
rna-NM_001180690.3	RPP2B
rna-NM_001180693.1	EFT2
rna-NM_001180694.3	MUS81
rna-NM_001180696.1	RVS167
rna-NM_001180697.1	SAC7
rna-NM_001180700.1	SPT3
rna-NM_001180701.1	SHE9
rna-NM_001180702.3	RPT3
rna-NM_001180703.3	SXM1
rna-NM_001180706.1	UTP5
rna-NM_001180707.3	HPT1
rna-NM_001180708.3	URH1
rna-NM_001180711.1	DIT1
rna-NM_001180713.3	MRP20
rna-NM_001180714.1	PDR15
rna-NM_001180717.3	SIZ1
rna-NM_001180720.3	RRP17
rna-NM_001180724.1	SYF1
rna-NM_001180726.3	RPL12B
rna-NM_001180727.3	RAD30
rna-NM_001180728.1	HKR1
rna-NM_001180729.1	ARO80
rna-NM_001180733.1	SNX41
rna-NM_001180735.3	RPN9
rna-NM_001180740.3	NPL3
rna-NM_001180742.3	GPI17
rna-NM_001180744.1	PPZ2
rna-NM_001180745.3	GPI19
rna-NM_001180746.3	THI74
rna-NM_001180747.1	LRS4
rna-NM_001180748.1	DOT1
rna-NM_001180752.1	YDR444W
rna-NM_001180754.1	ECM11
rna-NM_001180756.3	ADA2
rna-NM_001180758.1	RPS18A
rna-NM_001180760.3	PPN1
rna-NM_001180764.3	NHX1
rna-NM_001180765.3	TOM1
rna-NM_001180768.3	TFB3
rna-NM_001180769.3	MFA1
rna-NM_001180770.1	MRPL28
rna-NM_001180771.3	STP1
rna-NM_001180772.3	SPP41
rna-NM_001180774.1	PKH3
rna-NM_001180777.3	SDC1
rna-NM_001180779.1	RPL27B
rna-NR_132161.1	SNR13
rna-NM_001180780.3	TRS31
rna-NM_001180785.3	SNF1
rna-NM_001180786.3	SNM1
rna-NM_001180788.1	DIG2
rna-NM_001180791.1	KRE2
rna-NM_001180792.1	VPS52
rna-NM_001180797.3	SLD5
rna-NM_001180800.1	IZH1
rna-NM_001180801.1	MZM1
rna-NM_001180802.3	RSM28
rna-NM_001180807.3	LCD1
rna-NM_001180809.1	PLM2
rna-NM_001180818.1	SMT3
rna-NM_001180819.3	SDH7
rna-NM_001180821.1	GRX2
rna-NM_001180823.3	SLF1
rna-NM_001180825.1	GRH1
rna-NM_001180826.1	EUG1
rna-NM_001180827.3	FPR2
rna-NM_001184632.3	YDR524W-C
rna-NM_001348819.1	API2
rna-NM_001184329.1	SNA2
rna-NM_001180835.4	RBA50
rna-NM_001180836.3	HLR1
rna-NM_001180839.3	CAB1
rna-NM_001180844.3	STL1
rna-NM_001180846.3	PAD1
rna-NM_001180847.1	FDC1
rna-NM_001180850.3	PAU10
rna-NM_001180853.1	YRF1-1
rna-NM_001180306.1	SOR2
rna-NM_001180305.1	HXT15
rna-NM_001180303.1	AAD4
rna-NM_001180299.2	ADY3
rna-NM_001180298.1	GUD1
rna-NM_001180295.1	YPD1
rna-NM_001180294.1	GYP7
rna-NM_001180291.1	BRE4
rna-NM_001180287.1	HO
rna-NM_001180286.1	GCS1
rna-NM_001180284.1	WHI4
rna-NM_001180283.1	HBT1
rna-NM_001180282.1	FMP45
rna-NM_001180280.1	CDC13
rna-NM_001180277.1	TIM22
rna-NM_001180276.1	RRI1
rna-NM_001180275.1	GDH2
rna-NM_001180274.1	PRR2
rna-NM_001180273.1	NOP6
rna-NM_001180271.1	YDL211C
rna-NM_001180269.1	CWC2
rna-NM_001180265.1	HEM3
rna-NM_001180263.1	ACK1
rna-NM_001180260.1	MGT1
rna-NM_001180259.1	YDL199C
rna-NM_001180258.1	GGC1
rna-NM_001180257.1	ASF2
rna-NM_001180250.2	UFD2
rna-NM_001180248.1	PPH22
rna-NM_001180244.1	RPL41A
rna-NM_001180243.1	MRX19
rna-NM_001180237.1	YDL177C
rna-NM_001180235.1	AIR2
rna-NM_001180234.1	DLD1
rna-NM_001180231.1	GLT1
rna-NM_001180229.1	UGX2
rna-NM_001180227.1	NRP1
rna-NM_001180226.1	FAP7
rna-NM_001180224.1	CDC9
rna-NM_001184530.1	MHF2
rna-NM_001180220.1	DHH1
rna-NM_001180217.1	DMO2
rna-NM_001180213.1	SAS10
rna-NM_001180208.1	NOP14
rna-NM_001180205.1	COP1
rna-NM_001180204.1	YDL144C
rna-NM_001180202.1	CRD1
rna-NM_001180200.1	RPO21
rna-NM_001180199.1	SCM3
rna-NM_001180195.1	RDI1
rna-NM_001180193.1	PPH21
rna-NM_001180194.1	RPL41B
rna-NM_001180185.1	CDC48
rna-NM_001180184.1	HNT1
rna-NM_001180180.1	EXP1
rna-NM_001180178.1	HEM25
rna-NM_001180174.1	IWR1
rna-NM_001180172.1	ATG20
rna-NM_001180170.1	RRP42
rna-NM_001180169.1	TMA17
rna-NM_001180168.1	YDL109C
rna-NM_001180165.1	PHO2
rna-NM_001180163.1	QRI7
rna-NM_001180162.1	QRI1
rna-NM_001180160.1	DUN1
rna-NM_001180159.1	GET3
rna-NM_001180157.1	SNU23
rna-NM_001180156.1	RPN6
rna-NM_001180150.1	UBX3
rna-NM_001180149.1	RAM1
rna-NM_001180147.1	ASM4
rna-NM_001180146.1	LUC7
rna-NM_001184455.1	YDL085C-A
rna-NM_001180142.1	RPS16B
rna-NM_001180140.1	RPP1A
rna-NM_001180139.1	THI3
rna-NM_001180138.1	MRK1
rna-NM_001180137.1	MDH3
rna-NM_001180136.1	VAM6
rna-NM_001180135.1	RXT3
rna-NR_132159.1	SNR63
rna-NM_001180133.1	BRE1
rna-NM_001180131.1	YET3
rna-NM_001180128.1	CBS1
rna-NM_001180126.1	COX9
rna-NM_001180124.1	PEX19
rna-NM_001180122.1	SYO1
rna-NM_001180120.1	RPS29B
rna-NM_001180118.1	RAD59
rna-NM_001180114.1	PSA1
rna-NM_001180113.1	MCH1
rna-NM_001180112.1	PBP4
rna-NM_001180111.1	SLC1
rna-NM_001180108.1	KNH1
rna-NM_001180107.1	STP4
rna-NM_001180104.1	FAD1
rna-NM_001180103.1	MTF2
rna-NM_001180102.1	PRP11
rna-NM_001180101.1	SIR2
rna-NM_001180099.1	NAT1
rna-NM_001180098.1	PRM7
rna-NM_001180096.1	BSC1
rna-NM_001180095.1	PUS9
rna-NM_001180094.1	GPR1
rna-NM_001180092.1	SLM3
rna-NM_001180087.2	MPS1
rna-NM_001180086.1	MRX9
rna-NM_001180084.1	RTK1
rna-NM_001180083.1	DIA3
rna-NM_001270741.1	YDL022C-A
rna-NM_001180079.3	RPN4
rna-NM_001180078.1	OSH2
rna-NM_001180077.1	ERP3
rna-NM_001180074.1	TSC13
rna-NM_001180071.1	YDL012C
rna-NM_001270742.1	YDL009C
rna-NM_001184682.1	YDL007C-A
rna-NM_001180064.3	MED2
rna-NM_001180061.3	NHP10
rna-NM_001180309.1	NTH1
rna-NM_001180313.1	MAF1
rna-NM_001180314.3	SOK1
rna-NM_001348808.1	YDR010C
rna-NM_001180324.3	DAD1
rna-NM_001180325.3	KCS1
rna-NM_001180326.1	MLG1
rna-NM_001180327.1	GCV1
rna-NM_001180328.3	DAS2
rna-NM_001180330.1	ATG31
rna-NM_001180334.3	NSI1
rna-NM_001180335.1	VPS54
rna-NM_001180336.1	REG1
rna-NM_001180338.3	RAD28
rna-NM_001180340.1	PST2
rna-NR_188204.1	SUT468
rna-NM_001180342.3	LYS14
rna-NM_001184379.4	YDR034C-D
rna-NM_001184378.1	YDR034C-C
rna-NM_001184326.1	YDR034C-A
rna-NM_001180344.1	EHD3
rna-NM_001180346.3	ENA5
rna-NM_001180347.3	ENA2
rna-NM_001180348.1	ENA1
rna-NM_001180350.3	YDR042C
rna-NR_132160.1	SNR47
rna-NM_001180351.3	NRG1
rna-NM_001180353.1	RPC11
rna-NM_001180354.3	BAP3
rna-NM_001180358.1	TPI1
rna-NM_001180359.3	DET1
rna-NM_001180360.3	DBF4
rna-NM_001180362.1	CDC34
rna-NM_001180364.3	EMC10
rna-NM_001180366.1	TGL2
rna-NM_001180367.1	UBC5
rna-NM_001180374.1	RTR2
rna-NM_001180375.1	OCA6
rna-NM_001180377.3	DOA4
rna-NM_001180378.1	FMP16
rna-NM_001180379.1	PAA1
rna-NM_001180380.3	IPT1
rna-NM_001180386.1	SHU2
rna-NM_001184469.3	TFB5
rna-NM_001180389.1	PDC2
rna-NM_001180392.3	TVP23
rna-NM_001180393.1	AFR1
rna-NM_001180394.1	SSS1
rna-NM_001180395.3	RRP1
rna-NM_001180396.3	SLU7
rna-NM_001180398.1	ILT1
rna-NM_001180399.3	RLI1
rna-NM_001180405.3	MSH6
rna-NM_001180406.4	GRX3
rna-NM_001184417.2	YDR098C-B
rna-NM_001184416.1	YDR098C-A
rna-NM_001180409.1	ARX1
rna-NM_001348810.1	YDR102C
rna-NM_001180412.3	SPO71
rna-NM_001180413.3	TMS1
rna-NM_001180415.1	TMN2
rna-NM_001180417.3	YDR109C
rna-NM_001180419.1	ALT2
rna-NM_001180421.3	PDS1
rna-NM_001180422.3	YDR114C
rna-NM_001180424.1	MRPL1
rna-NM_001180425.3	TMA64
rna-NM_001180428.3	TRM1
rna-NM_001180431.1	INO2
rna-NM_001180433.3	ECM18
rna-NM_001180437.3	SAC6
rna-NM_001180438.1	FIN1
rna-NM_001180439.1	YDR131C
rna-NM_001180440.3	MRX16
rna-NM_001180442.3	YCF1
rna-NM_001180446.3	RUB1
rna-NM_001180448.1	DOP1
rna-NM_001180449.1	PEX7
rna-NM_001180450.3	SAN1
rna-NM_001180451.3	MKC7
rna-NM_001180453.1	SWI5
rna-NM_001180455.3	KGD2
rna-NM_001180458.1	CTH1
rna-NM_001180460.3	ENT5
rna-NM_001180462.1	CPR1
rna-NM_001180469.3	NBP2
rna-NM_001180471.1	SEC1
rna-NM_001180473.3	SEC5
rna-NM_001180476.1	STB3
rna-NM_001184544.3	YDR169C-A
rna-NM_001180477.3	SEC7
rna-NM_001180480.3	ARG82
rna-NM_001180482.1	RSM24
rna-NM_001180486.1	CSN9
rna-NM_001180489.1	SAS4
rna-NM_001180492.1	ATC1
rna-NM_001180493.1	UPS3
rna-NM_001180494.3	SND1
rna-NM_001180498.1	RVB1
rna-NM_001180500.3	NUP42
rna-NM_001180502.1	MSS116
rna-NM_001180504.3	CAB5
rna-NM_001180506.1	RKM2
rna-NM_001180508.3	VPS64
rna-NM_001180510.1	RAV2
rna-NM_001180515.1	UME6
rna-NM_001348813.1	YDR209C
rna-NM_001184436.2	YDR210C-D
rna-NM_001184435.3	YDR210C-C
rna-NM_001348814.1	YDR215C
rna-NM_001180525.1	RAD9
rna-NM_001180526.1	SPR28
rna-NM_001180527.3	MFB1
rna-NM_001180532.3	HTB1
rna-NM_001180536.3	PCF11
rna-NM_001180539.1	COX20
rna-NM_001180541.3	RTN1
rna-NM_001180544.1	FMN1
rna-NM_001180546.3	SEC26
rna-NM_001180547.1	YDR239C
rna-NM_001180548.1	SNU56
rna-NM_001180551.3	PRP28
rna-NM_001180556.1	YDR248C
rna-NM_001180557.3	YDR249C
rna-NM_001180561.1	MET32
rna-NM_001180563.3	RMD5
rna-NM_001180564.1	CTA1
rna-NM_001180565.1	RKM4
rna-NM_001180566.3	HSP78
rna-NM_001180567.3	YAP6
rna-NM_001180568.1	SWM1
rna-NM_001180569.1	EXG2
rna-NM_001184421.2	YDR261C-D
rna-NM_001184420.1	YDR261C-C
rna-NM_001180571.3	DIN7
rna-NM_001180572.1	AKR1
rna-NM_001180574.3	HEL2
rna-NM_001180575.3	CIA1
rna-NM_001348815.1	YDR274C
rna-NM_001180584.1	PMP3
rna-NM_001180585.3	MTH1
rna-NM_001180589.1	PHM6
rna-NM_001180590.3	MRX10
rna-NM_001180591.3	GCN2
rna-NM_001180592.1	DPP1
rna-NM_001180594.3	MGP12
rna-NM_001180597.1	RTT103
rna-NM_001180600.3	SRP101
rna-NM_001180601.1	SSD1
rna-NM_001180602.1	DPL1
rna-NM_001180603.3	HDA2
rna-NM_001180606.1	ATP5
rna-NM_001180608.3	PRO1
rna-NM_001180611.3	RSC3
rna-NM_001180612.3	CPR5
rna-NM_001180613.1	HNT2
rna-NM_001180614.1	PFU1
rna-NM_001180616.3	SRB7
rna-NM_001180617.1	GIC2
rna-NM_001180618.1	SUM1
rna-NM_001180621.1	PIB1
rna-NM_001180622.1	RAD34
rna-NM_001180623.3	IPK1
rna-NM_001180627.1	YFT2
rna-NM_001180628.1	SWA2
rna-NM_001184470.3	DAD4
rna-NM_001184348.1	TIM11
rna-NM_001180631.3	PEP7
rna-NM_001180632.3	UTP4
rna-NM_001180634.1	YSP2
rna-NM_001180636.3	SKP1
rna-NM_001180637.3	PEX3
rna-NM_001180641.3	RQC1
rna-NM_001180646.1	YDR338C
rna-NM_001180647.1	FCF1
rna-NM_001180649.3	YDR341C
rna-NM_001180650.3	HXT7
rna-NM_001180651.1	HXT6
rna-NM_001348817.1	YDR344C
rna-NM_001180653.1	HXT3
rna-NM_001180654.3	SVF1
rna-NM_001180656.1	PAL1
rna-NM_001180657.1	YPS7
rna-NM_001180658.4	ATP22
rna-NM_001180665.1	CNL1
rna-NM_001180667.3	EAF1
rna-NM_001180669.3	BCP1
rna-NM_001180670.1	TFC6
rna-NM_001180672.3	CDC40
rna-NM_001180673.1	ESF1
rna-NM_001180674.3	MOR1
rna-NM_001180677.3	XRS2
rna-NM_001180678.3	DXO1
rna-NM_001180680.1	VPS74
rna-NM_001180682.3	PHO92
rna-NM_001180683.1	BCS1
rna-NM_001180686.1	LSM6
rna-NM_001184471.3	SDH6
rna-NM_001184511.1	COI1
rna-NM_001180691.3	NKP1
rna-NM_001180692.1	ATO3
rna-NM_001180695.3	CIN10
rna-NM_001180698.3	UBA2
rna-NM_001180699.3	YDR391C
rna-NM_001180705.1	NCB2
rna-NM_001180710.1	DIT2
rna-NM_001180712.3	RPB7
rna-NM_001180715.1	TRS120
rna-NM_001180716.3	ADE8
rna-NM_001180718.1	STE14
rna-NM_001180719.1	DFM1
rna-NM_001180722.4	ERD1
rna-NM_001180723.1	YDR415C
rna-NM_001180730.3	SIP1
rna-NM_001180731.3	CAD1
rna-NM_001180732.1	DYN2
rna-NM_001180736.3	BNA7
rna-NM_001180737.1	TIF35
rna-NM_001180738.1	CYM1
rna-NM_001180743.1	PPM1
rna-NM_001180749.3	APT2
rna-NM_001180751.3	SSN2
rna-NM_001180755.3	RPS17B
rna-NM_001180757.1	UTP6
rna-NM_001180759.3	YHP1
rna-NM_001180761.1	TSA2
rna-NM_001180762.1	GUK1
rna-NM_001180766.1	HEH2
rna-NM_001180767.1	PFA5
rna-NM_001184679.1	CMI8
rna-NM_001180773.1	RMT2
rna-NM_001180776.3	TLG1
rna-NM_001180778.2	UGO1
rna-NM_001180781.3	PRP3
rna-NM_001180783.1	JIP4
rna-NM_001180784.1	YDR476C
rna-NM_001180787.1	PEX29
rna-NM_001180789.3	PHO8
rna-NM_001180790.3	CWC21
rna-NM_001180793.3	VPS72
rna-NM_001180794.3	VPS60
rna-NM_001180795.1	RIB3
rna-NM_001180796.1	PAC11
rna-NM_001180798.3	PKH1
rna-NM_001180803.3	VPS3
rna-NM_001180804.1	PUF6
rna-NM_001180805.1	ITR1
rna-NM_001180806.3	SEC20
rna-NM_001180808.1	RPL37B
rna-NM_001180810.3	SAM2
rna-NM_001180811.3	LPP1
rna-NM_001180812.1	SPG3
rna-NM_001180813.2	PSP1
rna-NM_001180814.3	GMC1
rna-NM_001180815.3	GIN4
rna-NM_001180816.1	GNP1
rna-NM_001180820.3	EMI1
rna-NM_001180822.1	YDR514C
rna-NM_001180824.3	EMI2
rna-NM_001180828.3	URC2
rna-NM_001180830.1	SPS2
rna-NM_001180831.1	SPS1
rna-NM_001180832.3	AGE1
rna-NM_001184631.1	YDR524C-B
rna-NR_132162.1	SNR84
rna-NM_001180837.1	QCR7
rna-NM_001180838.1	APA2
rna-NM_001180840.3	KRE28
rna-NM_001180841.1	HSP31
rna-NM_001180842.1	FIT1
rna-NM_001180848.1	IRC4
rna-NM_001180849.4	YDR541C
rna-NM_001178887.1	RMD6
rna-NM_001178886.1	DLD3
rna-NM_001178885.1	DSF1
rna-NM_001178881.2	HPA3
rna-NM_001178880.3	SIT1
rna-NM_001178877.3	NPR2
rna-NM_001395033.1	HHY1
rna-NM_001178873.1	PCM1
rna-NM_001178871.3	HAT2
rna-NM_001178867.1	AFG1
rna-NM_001178866.1	VMA8
rna-NR_132164.1	SNR67
rna-NR_132165.1	SNR53
rna-NM_001178864.1	PAU2
rna-NM_001178859.1	IES6
rna-NM_001178858.3	GTA1
rna-NM_001178857.1	GDA1
rna-NM_001178856.1	YEF1
rna-NM_001178855.3	UTR2
rna-NM_001178853.1	UTR4
rna-NM_001178849.3	HYP2
rna-NM_001178848.1	MTC7
rna-NM_001178847.1	MCM3
rna-NM_001178846.3	SPF1
rna-NM_001178845.1	ECM10
rna-NM_001348820.1	YEL028W
rna-NM_001178842.3	VMA3
rna-NM_001178841.1	SNU13
rna-NM_001178839.3	RIP1
rna-NM_001178837.1	GEA2
rna-NM_001178836.3	URA3
rna-NM_001184349.1	TIM9
rna-NM_001178833.1	EAF5
rna-NM_001178832.3	GTT3
rna-NM_001178830.1	EDC3
rna-NM_001178828.3	VAC8
rna-NM_001178827.1	UBC8
rna-NM_001178826.1	GLC3
rna-NM_001348823.1	YEL008W
rna-NM_001178822.1	MIT1
rna-NM_001178821.1	YEA6
rna-NM_001178819.1	YEA4
rna-NM_001178818.1	GIM4
rna-NM_001178892.1	MNN1
rna-NM_001178893.3	NOP16
rna-NM_001178895.1	FMP52
rna-NM_001178896.3	YND1
rna-NM_001178897.1	NUG1
rna-NM_001178898.1	PAC2
rna-NM_001178900.1	NTF2
rna-NM_001178902.1	TIR1
rna-NM_001178903.1	PRE1
rna-NM_001178904.3	PRP22
rna-NM_001178905.1	HEM14
rna-NM_001178906.3	FAA2
rna-NM_001178907.1	BIM1
rna-NM_001178910.1	ISC1
rna-NM_001178911.3	GPA2
rna-NM_001178912.1	RPN3
rna-NM_001178913.1	SRB4
rna-NM_001178914.3	PRO3
rna-NM_001178915.1	YAT2
rna-NM_001178916.1	GCD11
rna-NM_001178921.1	CHZ1
rna-NM_001178923.3	FIR1
rna-NM_001178925.1	YER034W
rna-NM_001178926.3	EDC2
rna-NM_001178928.1	PHM8
rna-NM_001301348.1	FMP49
rna-NM_001178931.3	GLN3
rna-NM_001178932.2	YEN1
rna-NM_001178933.1	MXR1
rna-NM_001178937.1	SPO73
rna-NM_001184330.1	ISD11
rna-NM_001178940.1	TPA1
rna-NM_001178942.1	JHD1
rna-NM_001178949.1	PET117
rna-NM_001178950.1	PCL6
rna-NM_001178951.3	FCY21
rna-NM_001180858.1	FCY22
rna-NM_001178954.1	THO1
rna-NM_001178957.1	RRT13
rna-NM_001178958.1	RGI1
rna-NM_001178959.3	MOT2
rna-NM_001178960.1	ARG56
rna-NM_001178961.1	RNR1
rna-NM_001178963.1	VTC1
rna-NM_001178964.2	ALD5
rna-NM_001178965.3	RPS24A
rna-NM_001184512.1	YOS1
rna-NM_001184548.3	YER078W-A
rna-NM_001178970.1	YER079W
rna-NM_001178971.1	AIM9
rna-NR_132168.1	SRG1
rna-NM_001178972.3	SER3
rna-NM_001270744.1	YER084W
rna-NM_001178977.1	ILV1
rna-NM_001178978.1	AIM10
rna-NM_001178981.1	TRP2
rna-NM_001178983.3	IES5
rna-NM_001178986.3	RAD51
rna-NM_001178987.1	SHC1
rna-NM_001178989.1	UBP9
rna-NM_001178991.3	UBC6
rna-NM_001178993.1	RPS8B
rna-NM_001178994.3	SSA4
rna-NM_001178995.3	RTT105
rna-NM_001178997.1	MAM1
rna-NM_001179002.3	LSM4
rna-NM_001179007.3	RPL23B
rna-NM_001179010.3	SCS2
rna-NM_001179011.3	YER121W
rna-NM_001179013.1	YCK3
rna-NM_001179015.3	RSP5
rna-NM_001179017.1	LCP5
rna-NM_001179018.3	VFA1
rna-NM_001179019.3	SAK1
rna-NM_001179021.1	RPS26B
rna-NR_132169.1	SNR4
rna-NM_001179023.3	GLC7
rna-NM_001179026.1	GDI1
rna-NR_132171.1	SCR1
rna-NM_001184332.1	YER138W-A
rna-NM_001179030.3	EMP65
rna-NM_001179031.1	COX15
rna-NM_001179033.3	DDI1
rna-NM_001179036.1	LSM5
rna-NM_001179038.3	SPT15
rna-NM_001179040.1	SPI1
rna-NM_001179044.1	OXA1
rna-NM_001179047.1	COG3
rna-NM_001179054.1	CHD1
rna-NM_001179055.1	PAB1
rna-NM_001179056.3	DNF1
rna-NM_001179057.3	BCK2
rna-NM_001179059.1	RPH1
rna-NM_001179060.3	ADK2
rna-NM_001179061.3	RAD3
rna-NM_001179063.1	RAD24
rna-NM_001184589.1	YER175W-A
rna-NM_001179066.1	ECM32
rna-NM_001179067.3	BMH1
rna-NM_001179068.3	PDA1
rna-NM_001179069.1	DMC1
rna-NM_001179072.3	FMP10
rna-NM_001179075.3	PUG1
rna-NM_001179077.1	YER187W
rna-NM_001348829.1	YER188W
rna-NM_001179079.3	YER189W
rna-NM_001179080.3	YRF1-2
rna-NM_001184302.1	YEL077C
rna-NM_001180855.1	YEL076C-A
rna-NM_001178891.1	YEL076C
rna-NM_001178890.1	YEL075C
rna-NM_001178888.1	YEL073C
rna-NM_001178884.1	HXT13
rna-NM_001270743.1	YEL068C
rna-NM_001178882.1	YEL067C
rna-NM_001178879.1	AVT2
rna-NM_001178878.1	CAN1
rna-NM_001178876.1	CIN8
rna-NM_001178875.1	PRB1
rna-NM_001180854.3	SOM1
rna-NM_001178872.1	SDD1
rna-NM_001178870.1	POL5
