From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
YGL255W	P32804	reviewed	ZRT1_YEAST	Zinc-regulated transporter 1 (High-affinity zinc transport protein ZRT1)	ZRT1 YGL255W NRC376	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376	zinc ion import across plasma membrane [GO:0071578]	cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]	high-affinity zinc transmembrane transporter activity [GO:0000006]	cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; high-affinity zinc transmembrane transporter activity [GO:0000006]; zinc ion import across plasma membrane [GO:0071578]	GO:0000006; GO:0005783; GO:0005886; GO:0071578; GO:0071944
YGR043C	P53228	reviewed	TAL2_YEAST	Transaldolase NQM1 (EC 2.2.1.2) (Non-quiescent mutant protein 1)	NQM1 YGR043C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333	carbohydrate metabolic process [GO:0005975]; cellular response to oxidative stress [GO:0034599]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	transaldolase activity [GO:0004801]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transaldolase activity [GO:0004801]; carbohydrate metabolic process [GO:0005975]; cellular response to oxidative stress [GO:0034599]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	GO:0004801; GO:0005634; GO:0005737; GO:0005975; GO:0009052; GO:0034599
YGR088W	P06115	reviewed	CATT_YEAST	Catalase T (EC 1.11.1.6)	CTT1 YGR088W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562	hydrogen peroxide catabolic process [GO:0042744]; response to hydrogen peroxide [GO:0042542]; response to reactive oxygen species [GO:0000302]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to hydrogen peroxide [GO:0042542]; response to reactive oxygen species [GO:0000302]	GO:0000302; GO:0004096; GO:0005737; GO:0005739; GO:0005777; GO:0020037; GO:0042542; GO:0042744; GO:0046872
YGR109W-A	Q12173	reviewed	YG31A_YEAST	Transposon Ty3-G Gag polyprotein (Gag3) (Transposon Ty3-1 protein A) (TY3A) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p9 (NC) (NCp9) (p7)]	TY3A-G YGRWTy3-1 GAG YGR109W-A G5982	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290	retrotransposition [GO:0032197]; viral translational frameshifting [GO:0075523]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; retrotransposition [GO:0032197]; viral translational frameshifting [GO:0075523]	GO:0000943; GO:0003677; GO:0005737; GO:0008270; GO:0032197; GO:0075523
YGR234W	P39676	reviewed	FHP_YEAST	Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)	YHB1 YHB YGR234W G8572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	399	cellular response to misfolded protein [GO:0071218]; cellular response to nitrosative stress [GO:0071500]; cellular response to oxidative stress [GO:0034599]; cellular response to reactive nitrogen species [GO:1902170]; nitric oxide catabolic process [GO:0046210]; response to toxic substance [GO:0009636]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	FAD binding [GO:0071949]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitric oxide dioxygenase NAD(P)H activity [GO:0008941]; nitric oxide reductase activity [GO:0016966]; oxygen binding [GO:0019825]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; FAD binding [GO:0071949]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitric oxide dioxygenase NAD(P)H activity [GO:0008941]; nitric oxide reductase activity [GO:0016966]; oxygen binding [GO:0019825]; cellular response to misfolded protein [GO:0071218]; cellular response to nitrosative stress [GO:0071500]; cellular response to oxidative stress [GO:0034599]; cellular response to reactive nitrogen species [GO:1902170]; nitric oxide catabolic process [GO:0046210]; response to toxic substance [GO:0009636]	GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005829; GO:0008941; GO:0009636; GO:0010494; GO:0016966; GO:0019825; GO:0020037; GO:0034599; GO:0046210; GO:0046872; GO:0071218; GO:0071500; GO:0071949; GO:1902170
YGR248W	P53315	reviewed	SOL4_YEAST	6-phosphogluconolactonase 4 (6PGL) (EC 3.1.1.31)	SOL4 YGR248W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	255	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, oxidative branch [GO:0009051]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	6-phosphogluconolactonase activity [GO:0017057]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; 6-phosphogluconolactonase activity [GO:0017057]; carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, oxidative branch [GO:0009051]	GO:0005634; GO:0005737; GO:0005829; GO:0005975; GO:0009051; GO:0017057
YGR256W	P53319	reviewed	6PGD2_YEAST	6-phosphogluconate dehydrogenase, decarboxylating 2 (EC 1.1.1.44)	GND2 YGR256W G9170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492	D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt, oxidative branch [GO:0009051]	cytosol [GO:0005829]; plasma membrane [GO:0005886]	NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt, oxidative branch [GO:0009051]	GO:0004616; GO:0005829; GO:0005886; GO:0009051; GO:0019521; GO:0050661
YHR087W	P38804	reviewed	SDO1L_YEAST	Restriction of telomere capping protein 3	RTC3 YHR087W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111	rRNA processing [GO:0006364]	cytoplasm [GO:0005737]; nucleus [GO:0005634]		cytoplasm [GO:0005737]; nucleus [GO:0005634]; rRNA processing [GO:0006364]	GO:0005634; GO:0005737; GO:0006364
YHR096C	P38695	reviewed	HXT5_YEAST	Probable glucose transporter HXT5	HXT5 YHR096C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	592	carbohydrate transport [GO:0008643]; D-glucose transmembrane transport [GO:1904659]; hexose transmembrane transport [GO:0008645]	cell periphery [GO:0071944]; plasma membrane [GO:0005886]	carbohydrate:proton symporter activity [GO:0005351]; D-glucose transmembrane transporter activity [GO:0055056]; fructose transmembrane transporter activity [GO:0005353]; mannose transmembrane transporter activity [GO:0015578]	cell periphery [GO:0071944]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; D-glucose transmembrane transporter activity [GO:0055056]; fructose transmembrane transporter activity [GO:0005353]; mannose transmembrane transporter activity [GO:0015578]; carbohydrate transport [GO:0008643]; D-glucose transmembrane transport [GO:1904659]; hexose transmembrane transport [GO:0008645]	GO:0005351; GO:0005353; GO:0005886; GO:0008643; GO:0008645; GO:0015578; GO:0055056; GO:0071944; GO:1904659
YHR136C	P38839	reviewed	SPL2_YEAST	Putative cyclin-dependent kinase inhibitor SPL2 (Suppressor of PLC1 deletion protein 2)	SPL2 YHR136C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148	protein targeting to vacuole [GO:0006623]	cytoplasm [GO:0005737]	cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]	cytoplasm [GO:0005737]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; protein targeting to vacuole [GO:0006623]	GO:0004861; GO:0005737; GO:0006623
YHR137W	P38840	reviewed	ARO9_YEAST	Aromatic amino acid aminotransferase 2 (EC 2.6.1.57) (Aromatic amino acid aminotransferase II) (Aromatic amino acid-requiring protein 9) (Kynurenine aminotransferase I) (KAT I) (EC 2.6.1.7)	ARO9 YHR137W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	513	aromatic amino acid family catabolic process [GO:0009074]; aromatic amino acid metabolic process [GO:0009072]; L-kynurenine catabolic process [GO:0097053]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-phenylalanine biosynthetic process [GO:0009094]; lysine biosynthetic process via aminoadipic acid [GO:0019878]; tyrosine biosynthetic process [GO:0006571]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	2-aminoadipate transaminase activity [GO:0047536]; aromatic-amino-acid transaminase activity [GO:0008793]; kynurenine-oxoglutarate transaminase activity [GO:0016212]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; 2-aminoadipate transaminase activity [GO:0047536]; aromatic-amino-acid transaminase activity [GO:0008793]; kynurenine-oxoglutarate transaminase activity [GO:0016212]; pyridoxal phosphate binding [GO:0030170]; aromatic amino acid family catabolic process [GO:0009074]; aromatic amino acid metabolic process [GO:0009072]; L-kynurenine catabolic process [GO:0097053]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-phenylalanine biosynthetic process [GO:0009094]; lysine biosynthetic process via aminoadipic acid [GO:0019878]; tyrosine biosynthetic process [GO:0006571]	GO:0005634; GO:0005737; GO:0006571; GO:0008793; GO:0009072; GO:0009074; GO:0009094; GO:0016212; GO:0019509; GO:0019878; GO:0030170; GO:0047536; GO:0097053
YHR215W	P38693	reviewed	PPAC_YEAST	Acid phosphatase PHO12 (EC 3.1.3.2)	PHO12 YHR215W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	467		fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]	acid phosphatase activity [GO:0003993]	fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; acid phosphatase activity [GO:0003993]	GO:0000324; GO:0003993; GO:0009277
YHR216W	P38697	reviewed	IMDH2_YEAST	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205)	IMD2 PUR5 YHR216W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	chromatin [GO:0000785]; cytoplasm [GO:0005737]	chromatin binding [GO:0003682]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]	chromatin [GO:0000785]; cytoplasm [GO:0005737]; chromatin binding [GO:0003682]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	GO:0000166; GO:0000785; GO:0003682; GO:0003729; GO:0003938; GO:0005737; GO:0006177; GO:0006183; GO:0046872
YIL136W	P16547	reviewed	OM45_YEAST	Mitochondrial outer membrane protein OM45 (Outer membrane protein of 45 kDa)	OM45 YIL136W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393		mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]		mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	GO:0005739; GO:0005741
YIR038C	P40582	reviewed	GST1_YEAST	Glutathione S-transferase 1 (EC 2.5.1.18) (GST-I)	GTT1 YIR038C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234	glutathione metabolic process [GO:0006749]	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]	GO:0004364; GO:0004602; GO:0005737; GO:0005739; GO:0005741; GO:0005783; GO:0005789; GO:0005886; GO:0006749; GO:0071944
YJL045W	P47052	reviewed	SDHX_YEAST	Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (FP) (SDH1b)	YJL045W J1194	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	634	cellular respiration [GO:0045333]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; tricarboxylic acid cycle [GO:0006099]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex II (succinate dehydrogenase) [GO:0045273]	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex II (succinate dehydrogenase) [GO:0045273]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; cellular respiration [GO:0045333]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; tricarboxylic acid cycle [GO:0006099]	GO:0005739; GO:0005743; GO:0006099; GO:0006121; GO:0008177; GO:0009055; GO:0045273; GO:0045333; GO:0050660
YJL116C	P46955	reviewed	NCA3_YEAST	Beta-glucosidase-like protein NCA3, mitochondrial	NCA3 YJL116C J0748	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337	fungal-type cell wall organization [GO:0031505]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	cell surface [GO:0009986]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]		cell surface [GO:0009986]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; fungal-type cell wall organization [GO:0031505]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	GO:0000324; GO:0005739; GO:0009277; GO:0009986; GO:0031505; GO:0042776
YJL153C	P11986	reviewed	INO1_YEAST	Inositol-3-phosphate synthase (MIP synthase) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (IPS) (MI-1-P synthase)	INO1 YJL153C J0610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	533	inositol biosynthetic process [GO:0006021]; phospholipid biosynthetic process [GO:0008654]	cytoplasm [GO:0005737]	inositol-3-phosphate synthase activity [GO:0004512]	cytoplasm [GO:0005737]; inositol-3-phosphate synthase activity [GO:0004512]; inositol biosynthetic process [GO:0006021]; phospholipid biosynthetic process [GO:0008654]	GO:0004512; GO:0005737; GO:0006021; GO:0008654
YJR047C	P19211	reviewed	IF5A2_YEAST	Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (Anaerobically induced protein 1) (Hypusine-containing protein HP1) (eIF-4D)	ANB1 HYP1 TIF51B YJR047C J1651	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	157	positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational elongation [GO:0006414]; translational frameshifting [GO:0006452]	cytosolic ribosome [GO:0022626]	ribosome binding [GO:0043022]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]	cytosolic ribosome [GO:0022626]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]; positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational elongation [GO:0006414]; translational frameshifting [GO:0006452]	GO:0003723; GO:0003746; GO:0006414; GO:0006452; GO:0022626; GO:0043022; GO:0045901; GO:0045905
YJR096W	P47137	reviewed	YJ66_YEAST	Uncharacterized oxidoreductase YJR096W (EC 1.-.-.-)	YJR096W J1926	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	282	arabinose catabolic process [GO:0019568]; cellular response to oxidative stress [GO:0034599]; D-xylose catabolic process [GO:0042843]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; arabinose catabolic process [GO:0019568]; cellular response to oxidative stress [GO:0034599]; D-xylose catabolic process [GO:0042843]	GO:0004032; GO:0004033; GO:0005634; GO:0005737; GO:0005829; GO:0019568; GO:0034599; GO:0042843
YKL163W	Q03180	reviewed	PIR3_YEAST	Cell wall mannoprotein PIR3 (Covalently-linked cell wall protein 8) (Protein with internal repeats 3)	PIR3 CCW8 YKL163W YKL617	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	325	fungal-type cell wall organization [GO:0031505]	extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; structural constituent of cell wall [GO:0005199]; fungal-type cell wall organization [GO:0031505]	GO:0005199; GO:0005576; GO:0009277; GO:0031505
YKR076W	P36156	reviewed	GTO2_YEAST	Glutathione S-transferase omega-like 2 (EC 2.5.1.18) (Extracellular mutant protein 4) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1)	ECM4 GTO2 YKR076W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	370	cell wall organization [GO:0071555]; glutathione metabolic process [GO:0006749]	cytoplasm [GO:0005737]	glutathione dehydrogenase (ascorbate) activity [GO:0045174]; glutathione transferase activity [GO:0004364]	cytoplasm [GO:0005737]; glutathione dehydrogenase (ascorbate) activity [GO:0045174]; glutathione transferase activity [GO:0004364]; cell wall organization [GO:0071555]; glutathione metabolic process [GO:0006749]	GO:0004364; GO:0005737; GO:0006749; GO:0045174; GO:0071555
YLR178C	P14306	reviewed	CPYI_YEAST	Carboxypeptidase Y inhibitor (CPY inhibitor) (CDC25 suppressor 1) (I(C)) (Ic) (Protein DKA1) (Protein NSP1)	TFS1 DKA1 NSP1 YLR178C L9470.19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	219	regulation of proteolysis [GO:0030162]; regulation of Ras protein signal transduction [GO:0046578]	cytoplasm [GO:0005737]; fungal-type vacuole lumen [GO:0000328]; fungal-type vacuole membrane [GO:0000329]	peptidase inhibitor activity [GO:0030414]; phospholipid binding [GO:0005543]; serine-type endopeptidase inhibitor activity [GO:0004867]	cytoplasm [GO:0005737]; fungal-type vacuole lumen [GO:0000328]; fungal-type vacuole membrane [GO:0000329]; peptidase inhibitor activity [GO:0030414]; phospholipid binding [GO:0005543]; serine-type endopeptidase inhibitor activity [GO:0004867]; regulation of proteolysis [GO:0030162]; regulation of Ras protein signal transduction [GO:0046578]	GO:0000328; GO:0000329; GO:0004867; GO:0005543; GO:0005737; GO:0030162; GO:0030414; GO:0046578
YLR327C	Q06177	reviewed	TMA10_YEAST	Translation machinery-associated protein 10 (Stabilizing factor 2-like protein 2) (Stabilizing factor 3)	TMA10 SFL2 STF3 YLR327C L8543.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86		cytoplasm [GO:0005737]; nucleus [GO:0005634]		cytoplasm [GO:0005737]; nucleus [GO:0005634]	GO:0005634; GO:0005737
YML123C	P25297	reviewed	PHO84_YEAST	Inorganic phosphate transporter PHO84	PHO84 YML123C YM7056.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	587	manganese ion transport [GO:0006828]; phosphate ion transport [GO:0006817]; plasma membrane selenite transport [GO:0097080]; polyphosphate metabolic process [GO:0006797]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]	manganese ion transmembrane transporter activity [GO:0005384]; phosphate transmembrane transporter activity [GO:0005315]; selenite:proton symporter activity [GO:0097079]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; manganese ion transmembrane transporter activity [GO:0005384]; phosphate transmembrane transporter activity [GO:0005315]; selenite:proton symporter activity [GO:0097079]; manganese ion transport [GO:0006828]; phosphate ion transport [GO:0006817]; plasma membrane selenite transport [GO:0097080]; polyphosphate metabolic process [GO:0006797]	GO:0000324; GO:0005315; GO:0005384; GO:0005783; GO:0005886; GO:0006797; GO:0006817; GO:0006828; GO:0097079; GO:0097080
YML128C	Q03104	reviewed	MSC1_YEAST	Meiotic sister chromatid recombination protein 1	MSC1 YML128C YM4987.07C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	513	protein localization to site of double-strand break [GO:1990166]; reciprocal meiotic recombination [GO:0007131]	endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]		endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]; protein localization to site of double-strand break [GO:1990166]; reciprocal meiotic recombination [GO:0007131]	GO:0005635; GO:0005739; GO:0005783; GO:0005886; GO:0007131; GO:1990166
YMR011W	P23585	reviewed	HXT2_YEAST	High-affinity glucose transporter HXT2	HXT2 YMR011W YM8270.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	541	carbohydrate transport [GO:0008643]; D-glucose transmembrane transport [GO:1904659]	cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]	carbohydrate:proton symporter activity [GO:0005351]; D-glucose transmembrane transporter activity [GO:0055056]; fructose transmembrane transporter activity [GO:0005353]; mannose transmembrane transporter activity [GO:0015578]; pentose transmembrane transporter activity [GO:0015146]	cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; D-glucose transmembrane transporter activity [GO:0055056]; fructose transmembrane transporter activity [GO:0005353]; mannose transmembrane transporter activity [GO:0015578]; pentose transmembrane transporter activity [GO:0015146]; carbohydrate transport [GO:0008643]; D-glucose transmembrane transport [GO:1904659]	GO:0000324; GO:0005351; GO:0005353; GO:0005886; GO:0008643; GO:0015146; GO:0015578; GO:0055056; GO:0071944; GO:1904659
YMR058W	P38993	reviewed	FET3_YEAST	Iron transport multicopper oxidase FET3 (EC 1.16.3.1) (Cuproxidase FET3) (EC 1.16.3.4)	FET3 YMR058W YM9796.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	636	arsenate ion transmembrane transport [GO:1901684]; cellular response to iron ion starvation [GO:0010106]; intracellular copper ion homeostasis [GO:0006878]; intracellular iron ion homeostasis [GO:0006879]; iron ion import across cell outer membrane [GO:0098706]; iron ion transmembrane transport [GO:0034755]; reductive iron assimilation [GO:0033215]; response to copper ion [GO:0046688]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; high-affinity iron permease complex [GO:0033573]; plasma membrane [GO:0005886]	copper ion binding [GO:0005507]; ferroxidase activity [GO:0004322]; oxidoreductase activity, acting on metal ions, oxygen as acceptor [GO:0016724]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; high-affinity iron permease complex [GO:0033573]; plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; ferroxidase activity [GO:0004322]; oxidoreductase activity, acting on metal ions, oxygen as acceptor [GO:0016724]; arsenate ion transmembrane transport [GO:1901684]; cellular response to iron ion starvation [GO:0010106]; intracellular copper ion homeostasis [GO:0006878]; intracellular iron ion homeostasis [GO:0006879]; iron ion import across cell outer membrane [GO:0098706]; iron ion transmembrane transport [GO:0034755]; reductive iron assimilation [GO:0033215]; response to copper ion [GO:0046688]	GO:0000324; GO:0004322; GO:0005507; GO:0005783; GO:0005886; GO:0006878; GO:0006879; GO:0010106; GO:0016724; GO:0033215; GO:0033573; GO:0034755; GO:0046688; GO:0098706; GO:1901684
YMR090W	Q04304	reviewed	YMY0_YEAST	UPF0659 protein YMR090W	YMR090W YM9582.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	227		cytoplasm [GO:0005737]		cytoplasm [GO:0005737]	GO:0005737
YMR107W	Q04438	reviewed	SPG4_YEAST	Stationary phase protein 4	SPG4 YMR107W YM9718.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115					
YMR169C	P54114	reviewed	ALDH3_YEAST	Aldehyde dehydrogenase [NAD(P)+] 2 (EC 1.2.1.3)	ALD3 ALD4 YMR169C YM8520.18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	506	beta-alanine biosynthetic process [GO:0019483]; pantothenate biosynthetic process [GO:0015940]; polyamine catabolic process [GO:0006598]	cytoplasm [GO:0005737]	3-aminopropanal dehydrogenase (NAD+) activity [GO:0102244]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]	cytoplasm [GO:0005737]; 3-aminopropanal dehydrogenase (NAD+) activity [GO:0102244]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; beta-alanine biosynthetic process [GO:0019483]; pantothenate biosynthetic process [GO:0015940]; polyamine catabolic process [GO:0006598]	GO:0004029; GO:0005737; GO:0006598; GO:0015940; GO:0019483; GO:0102244
YMR174C	P01094	reviewed	IPA3_YEAST	Protease A inhibitor 3 (Proteinase inhibitor I(A)3) (Proteinase yscA-inhibitor) (Saccharopepsin inhibitor)	PAI3 YMR174C YM8010.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	68	negative regulation of endopeptidase activity [GO:0010951]; protein catabolic process in the vacuole [GO:0007039]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; vacuole [GO:0005773]	aspartic-type endopeptidase inhibitor activity [GO:0019828]; endopeptidase inhibitor activity [GO:0004866]; protease binding [GO:0002020]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; vacuole [GO:0005773]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; endopeptidase inhibitor activity [GO:0004866]; protease binding [GO:0002020]; negative regulation of endopeptidase activity [GO:0010951]; protein catabolic process in the vacuole [GO:0007039]	GO:0002020; GO:0004866; GO:0005634; GO:0005737; GO:0005773; GO:0007039; GO:0010951; GO:0019828; GO:0032991
